ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785004404.135,0.0,15.19,,93372416
1785004405.135,1.0,16.62,142.99,93503488
1785004406.135,2.0,18.08,145.98,92946432
1785004407.135,3.001,19.62,153.94,92356608
1785004408.136,4.001,21.13,150.87,93667328
1785004409.136,5.002,22.65,151.96,93716480
1785004410.138,6.004,24.17,151.69,93732864
1785004411.139,7.004,25.67,149.93,95272960
1785004412.139,8.004,27.19,151.99,95272960
1785004413.139,9.004,28.79,159.99,94027776
1785004414.139,10.004,30.27,147.99,94027776
1785004415.139,11.005,31.81,153.94,94044160
1785004416.139,12.005,33.33,151.99,94044160
1785004417.14,13.005,34.93,159.89,93700096
1785004418.141,14.006,36.48,154.89,92815360
1785004419.141,15.006,37.97,148.97,93044736
1785004420.141,16.006,39.52,155.0,93044736
1785004421.142,17.008,41.09,156.78,93011968
1785004422.146,18.011,42.59,149.53,93192192
1785004423.146,19.011,44.12,152.99,93421568
1785004424.146,20.011,45.59,146.97,93700096
1785004425.146,21.012,47.14,154.93,93782016
1785004426.146,22.012,48.68,153.98,93798400
1785004427.146,23.012,50.18,149.99,96894976
1785004428.148,24.013,51.82,163.82,92749824
1785004429.148,25.013,53.37,154.97,92782592
1785004430.149,26.014,54.9,152.85,93978624
1785004431.151,27.016,56.44,153.7,93978624
1785004432.151,28.016,58.0,155.96,93978624
1785004433.154,29.019,59.53,152.6,94470144
1785004434.16,30.026,61.11,156.98,94502912
1785004435.16,31.026,62.61,149.99,94519296
1785004436.162,32.027,64.12,150.77,94732288
1785004437.162,33.027,65.67,154.98,94732288
1785004438.163,34.029,67.26,158.77,94994432
1785004439.163,35.029,68.9,163.98,92487680
1785004440.163,36.029,70.44,154.0,93208576
1785004441.163,37.029,72.03,158.99,93274112
1785004442.163,38.029,73.58,154.99,94240768
1785004443.166,39.031,75.17,158.64,92782592
1785004444.166,40.032,76.74,156.95,92946432
1785004445.167,41.032,78.28,153.88,93945856
1785004446.167,42.032,79.85,156.99,93798400
1785004447.167,43.032,81.42,156.99,92962816
1785004448.167,44.032,82.89,146.99,98549760
1785004449.167,45.033,84.53,163.98,93552640
1785004450.17,46.035,86.09,155.56,94961664
1785004451.17,47.035,87.64,155.0,94208000
1785004452.17,48.036,89.18,153.95,93896704
1785004453.17,49.036,90.73,154.98,93896704
1785004454.17,50.036,92.25,152.0,94437376
1785004455.174,51.04,93.82,156.42,93978624
1785004456.174,52.04,95.33,150.98,94945280
1785004457.174,53.04,96.88,154.97,94945280
1785004458.175,54.04,98.46,157.99,94781440
1785004459.175,55.041,99.96,149.89,94797824
1785004460.175,56.041,101.63,166.99,92454912
1785004461.178,57.044,103.19,155.53,92733440
1785004462.179,58.044,104.71,151.96,93077504
1785004463.179,59.044,106.22,150.97,93077504
1785004464.179,60.044,107.77,154.98,93306880
