ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785086914.148,0.0,5.37,,167280640
1785086915.149,1.001,5.87,49.93,168214528
1785086916.151,2.003,6.37,49.94,168312832
1785086917.151,3.003,6.9,52.98,162332672
1785086918.153,4.004,7.38,47.93,156237824
1785086919.154,5.006,8.0,61.92,156188672
1785086920.154,6.006,8.45,44.99,150962176
1785086921.155,7.007,8.99,53.93,162070528
1785086922.162,8.014,9.63,63.6,167264256
1785086923.162,9.014,10.64,100.99,165429248
1785086924.164,10.016,11.71,106.77,161300480
1785086925.168,11.02,12.32,60.73,162365440
1785086926.173,12.025,12.99,66.67,160841728
1785086927.174,13.026,13.73,73.93,187170816
1785086928.176,14.028,14.18,44.91,185974784
1785086929.176,15.028,14.77,58.99,191168512
1785086930.177,16.029,15.43,65.96,204685312
1785086931.178,17.029,15.93,49.97,213434368
1785086932.181,18.033,16.55,61.8,203440128
1785086933.201,19.053,17.15,58.8,213123072
1785086934.202,20.054,17.71,55.97,211746816
1785086935.206,21.058,18.4,68.68,222969856
1785086936.211,22.062,19.03,62.74,217153536
1785086937.211,23.063,19.54,50.95,228261888
1785086938.215,24.067,20.08,53.8,229752832
1785086939.217,25.069,20.74,65.88,231342080
1785086940.218,26.07,21.33,58.95,237092864
1785086941.218,27.07,21.99,65.97,248250368
1785086942.219,28.071,22.6,60.94,237912064
1785086943.221,29.073,23.41,80.9,249413632
1785086944.222,30.073,24.13,71.93,248119296
1785086945.226,31.078,24.73,59.72,238616576
1785086946.227,32.079,25.69,95.96,236240896
1785086947.227,33.079,27.19,149.95,218087424
1785086948.228,34.08,27.82,62.92,250773504
1785086949.235,35.087,28.58,75.52,256851968
1785086950.24,36.092,29.19,60.7,266223616
1785086951.247,37.099,29.7,50.63,235995136
1785086952.253,38.105,30.25,54.69,236847104
1785086953.257,39.109,30.97,71.67,269025280
1785086954.26,40.112,31.55,57.84,256344064
1785086955.261,41.113,32.4,84.91,295944192
1785086956.263,42.115,33.06,65.85,277676032
1785086957.266,43.117,33.5,43.91,222019584
1785086958.269,44.121,34.13,62.78,271073280
1785086959.269,45.121,34.8,66.98,320438272
1785086960.271,46.123,35.49,68.88,329662464
1785086961.272,47.123,36.45,95.95,325779456
1785086962.272,48.124,37.31,85.96,298696704
1785086963.272,49.124,37.99,67.99,334888960
1785086964.272,50.124,38.61,62.0,311148544
1785086965.276,51.128,39.32,70.77,338886656
1785086966.276,52.128,40.09,76.96,360022016
1785086967.277,53.129,40.97,87.94,356040704
1785086968.282,54.134,41.76,78.56,328171520
1785086969.284,55.136,42.47,70.88,325730304
1785086970.291,56.143,43.1,62.58,315670528
1785086971.292,57.144,43.84,73.9,358744064
1785086972.292,58.144,44.99,114.98,341721088
1785086973.293,59.145,46.53,153.85,276955136
1785086974.295,60.147,47.18,64.87,265879552
1785086975.297,61.149,47.62,43.9,294174720
