metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1785200000,10.000000,,,,,,,,,load,,,,,,,
http_reqs,1785200000,1.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_duration,1785200000,2.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_waiting,1785200000,1.500000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_failed,1785200000,0.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
iterations,1785200000,1.000000,,,,,,,,,load,,,,,,,
http_reqs,1785200000,1.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_duration,1785200000,4.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_failed,1785200000,0.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
iterations,1785200000,1.000000,,,,,,,,,load,,,,,,,
vus,1785200001,40.000000,,,,,,,,,load,,,,,,,
http_reqs,1785200001,1.000000,,,,false,,GET,http://s/page,HTTP/1.1,load,,500,,,http://s/page,,
http_req_duration,1785200001,10.000000,,,,false,,GET,http://s/page,HTTP/1.1,load,,500,,,http://s/page,,
http_req_waiting,1785200001,9.000000,,,,false,,GET,http://s/page,HTTP/1.1,load,,500,,,http://s/page,,
http_req_failed,1785200001,1.000000,,,,false,,GET,http://s/page,HTTP/1.1,load,,500,,,http://s/page,,
iterations,1785200001,1.000000,,,,,,,,,load,,,,,,,
dropped_iterations,1785200001,1.000000,,,,,,,,,load,,,,,,,
dropped_iterations,1785200001,1.000000,,,,,,,,,load,,,,,,,
vus,1785200001,25.000000,,,,,,,,,load,,,,,,,
vus,1785200003,7.000000,,,,,,,,,load,,,,,,,
http_reqs,1785200003,1.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_duration,1785200003,1.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
http_req_failed,1785200003,0.000000,,,,true,,GET,http://s/page,HTTP/1.1,load,,200,,,http://s/page,,
iterations,1785200003,1.000000,,,,,,,,,load,,,,,,,
