ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785086914.318,0.0,1.0,5.387616,,173.0,265.0,75878712.0,249500.0,2007350624.0,1.655445,8.0,8.0,82884.0
1785086915.323,1.005,1.0,6.117195,,1435.0,1762.0,49048592.0,226133.0,2276775912.0,1.832557,4.0,4.0,93873.0
1785086916.328,2.01,1.0,6.684153,,1612.0,1960.0,61050928.0,299107.0,2475558416.0,2.119395,5.0,5.0,102637.0
1785086917.331,3.013,1.0,7.021444,,1772.0,2586.0,61751176.0,308153.0,2600485232.0,2.366445,7.0,7.0,107745.0
1785086918.331,4.013,1.0,7.573157,,1838.0,1898.0,60258320.0,286128.0,2812042400.0,2.477775,3.0,3.0,116253.0
1785086919.335,5.017,1.0,8.072267,,2195.0,2534.0,72256528.0,328627.0,2991049320.0,2.63453,3.0,3.0,123717.0
1785086920.336,6.017,1.0,8.588883,,2322.0,3500.0,66528392.0,296912.0,3156694776.0,2.841775,8.0,8.0,131865.0
1785086921.336,7.018,1.0,9.134691,,2556.0,2589.0,66856464.0,287178.0,3347733088.0,2.971983,6.0,6.0,138560.0
1785086922.338,8.019,1.0,9.676474,,2784.0,2801.0,89610552.0,403063.0,3540170432.0,3.122373,0.0,0.0,146556.0
1785086923.338,9.019,1.0,10.907331,,2789.0,2806.0,53087728.0,218923.0,3867779384.0,3.129469,0.0,0.0,160639.0
1785086924.338,10.02,1.0,11.822637,,2790.0,2908.0,71857304.0,331565.0,4157686240.0,3.249791,4.0,4.0,173058.0
1785086925.34,11.022,1.0,12.485253,,2838.0,3217.0,45703192.0,176600.0,4398512224.0,3.424222,8.0,8.0,184669.0
1785086926.344,12.026,1.0,13.163436,,2873.0,4259.0,87621208.0,357924.0,4669409784.0,3.517054,3.0,3.0,194875.0
1785086927.346,13.028,1.0,14.013098,,3155.0,3343.0,116103280.0,514018.0,4991896192.0,3.665143,2.0,2.0,208124.0
1785086928.349,14.03,1.0,14.23034,,3159.0,3175.0,98844680.0,450177.0,5049679912.0,3.666785,0.0,0.0,210567.0
1785086929.358,15.04,1.0,14.882142,,3289.0,3869.0,79965080.0,332040.0,5280643096.0,3.783326,7.0,7.0,220263.0
1785086930.36,16.042,1.0,15.515256,,3428.0,4225.0,101683288.0,479913.0,5534544768.0,3.909047,5.0,5.0,231211.0
1785086931.361,17.043,1.0,16.130391,,3572.0,3598.0,77026040.0,288872.0,5796039536.0,4.045157,0.0,0.0,241713.0
1785086932.361,18.043,1.0,16.846133,,3607.0,4457.0,131370064.0,606189.0,6059943216.0,4.247549,5.0,5.0,254531.0
1785086933.365,19.046,1.0,17.318303,,3708.0,5836.0,128047104.0,644150.0,6257059808.0,4.373341,5.0,5.0,262624.0
1785086934.371,20.052,1.0,18.181148,,3868.0,3905.0,116527800.0,522914.0,6552356816.0,4.610618,5.0,5.0,273521.0
1785086935.373,21.054,1.0,18.437588,,3868.0,4229.0,117086216.0,562285.0,6689136064.0,4.705183,4.0,4.0,279346.0
1785086936.377,22.058,1.0,19.096849,,3956.0,4415.0,108697088.0,450660.0,6942483160.0,4.768181,8.0,8.0,290043.0
1785086937.378,23.06,1.0,19.667861,,4092.0,6609.0,117995488.0,558678.0,7162279744.0,5.054759,8.0,8.0,299222.0
1785086938.381,24.063,1.0,20.360426,,4198.0,5859.0,117900032.0,558950.0,7427142512.0,5.380699,6.0,6.0,310618.0
1785086939.385,25.066,1.0,20.888477,,4274.0,7298.0,123437592.0,462322.0,7617900776.0,5.642164,3.0,3.0,318836.0
1785086940.387,26.068,1.0,21.43223,,4343.0,4424.0,144677560.0,650602.0,7803059616.0,5.756734,1.0,1.0,325994.0
1785086941.39,27.072,1.0,22.237415,,4416.0,7052.0,115767688.0,516224.0,8096501512.0,5.886063,6.0,6.0,339925.0
1785086942.395,28.076,1.0,22.732799,,4481.0,6244.0,118134704.0,494642.0,8276579640.0,6.199194,8.0,8.0,349179.0
1785086943.396,29.078,1.0,23.666139,,4560.0,6674.0,135230816.0,641155.0,8600569312.0,6.326476,2.0,2.0,361217.0
1785086944.396,30.078,1.0,24.317231,,4593.0,6035.0,129133632.0,598414.0,8811516416.0,6.42598,6.0,6.0,369343.0
1785086945.398,31.08,1.0,24.870944,,4621.0,4642.0,129941752.0,553548.0,9000051584.0,6.463225,1.0,1.0,376231.0
1785086946.401,32.083,1.0,25.969848,,4630.0,4653.0,121516560.0,545977.0,9335756184.0,6.526219,1.0,1.0,390513.0
1785086947.402,33.084,1.0,27.323026,,4630.0,6029.0,136919368.0,474706.0,9673060888.0,6.595943,7.0,7.0,408785.0
1785086948.409,34.091,1.0,27.988532,,4695.0,7475.0,152002480.0,646846.0,9917421712.0,6.748022,8.0,8.0,419192.0
1785086949.409,35.091,1.0,28.661688,,4911.0,7405.0,88376856.0,321981.0,10100307856.0,6.796227,1.0,1.0,424727.0
1785086950.415,36.097,1.0,29.334856,,5130.0,5575.0,159878528.0,553487.0,10289357664.0,6.930004,3.0,3.0,430811.0
1785086951.418,37.1,1.0,29.90677,,5139.0,5655.0,116300296.0,512117.0,10444838944.0,6.968453,1.0,1.0,437499.0
1785086952.421,38.103,1.0,30.465447,,5340.0,8372.0,134073560.0,626726.0,10628906232.0,7.18527,7.0,7.0,445875.0
1785086953.422,39.103,1.0,31.230878,,5471.0,6969.0,186579024.0,860573.0,10872963776.0,7.255009,2.0,2.0,455903.0
1785086954.428,40.109,1.0,31.848819,,5605.0,8595.0,181330752.0,890339.0,11055502472.0,7.348112,6.0,6.0,464760.0
1785086955.429,41.111,1.0,32.498737,,5709.0,8259.0,120512736.0,508912.0,11264062176.0,7.390772,7.0,7.0,471065.0
1785086956.43,42.112,1.0,33.213019,,5780.0,5846.0,86234976.0,268906.0,11491547608.0,7.484254,1.0,1.0,481012.0
1785086957.441,43.123,1.0,33.579799,,5788.0,5822.0,116495792.0,472731.0,11605222592.0,7.484753,2.0,2.0,485893.0
1785086958.444,44.125,1.0,34.50553,,5915.0,10680.0,112994488.0,394066.0,11884883384.0,7.67679,8.0,8.0,497246.0
1785086959.447,45.128,1.0,35.046689,,6015.0,8255.0,198802424.0,877607.0,12083891768.0,7.865734,3.0,3.0,506157.0
1785086960.448,46.13,1.0,35.743086,,6188.0,9364.0,161326920.0,656107.0,12337963912.0,8.006546,1.0,1.0,517705.0
1785086961.454,47.136,1.0,36.815657,,6214.0,9057.0,161023928.0,607998.0,12700456496.0,8.054504,0.0,0.0,531457.0
1785086962.454,48.136,1.0,37.747536,,6236.0,7383.0,177659904.0,782264.0,12957059560.0,8.348963,0.0,0.0,542362.0
1785086963.455,49.137,1.0,38.091078,,6247.0,6264.0,135058824.0,516560.0,13052172920.0,8.39141,0.0,0.0,546277.0
1785086964.46,50.142,1.0,38.852594,,6254.0,6535.0,172917160.0,671371.0,13341429824.0,8.526128,1.0,1.0,558271.0
1785086965.461,51.143,1.0,39.576094,,6391.0,11718.0,200275072.0,996518.0,13613845584.0,8.612642,4.0,4.0,572820.0
1785086966.462,52.144,1.0,40.346231,,6451.0,9403.0,170770672.0,778799.0,13929579888.0,8.686637,3.0,3.0,583345.0
1785086967.466,53.148,1.0,41.291655,,6514.0,6872.0,170296824.0,761259.0,14306106248.0,8.751744,6.0,6.0,598652.0
1785086968.472,54.153,1.0,41.993374,,6609.0,10494.0,208460304.0,1000157.0,14513593240.0,8.801235,2.0,2.0,609008.0
1785086969.477,55.158,1.0,42.622007,,6632.0,7651.0,172341712.0,599297.0,14739535160.0,8.847266,0.0,0.0,616952.0
1785086970.477,56.159,1.0,43.313638,,6642.0,10522.0,178760176.0,849101.0,14949979544.0,8.936743,6.0,6.0,627565.0
1785086971.482,57.164,1.0,44.175654,,6722.0,7317.0,190041256.0,908898.0,15309261464.0,9.097004,2.0,2.0,640535.0
1785086972.483,58.164,1.0,45.282139,,6805.0,6823.0,88582936.0,262534.0,15663187192.0,9.156992,0.0,0.0,655388.0
1785086973.484,59.166,1.0,46.846115,,6805.0,6832.0,127951160.0,506178.0,16052348080.0,9.195333,1.0,1.0,672111.0
1785086974.485,60.167,1.0,47.606353,,6805.0,6963.0,120982424.0,276802.0,16289414472.0,9.383973,7.0,7.0,682096.0
1785086975.491,61.172,1.0,47.623591,,6805.0,6821.0,95027520.0,302450.0,16296023792.0,9.383973,0.0,0.0,682392.0
