ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785014953.044,0.0,19.6101,,80887808
1785014954.126,1.082,23.2478,336.08,86810624
1785014956.128,3.084,26.8939,182.17,88186880
1785014958.133,5.089,30.518,180.71,86417408
1785014960.139,7.095,34.149,181.06,87388160
1785014962.147,9.103,37.8112,182.35,87724032
1785014964.155,11.111,41.4981,183.62,86867968
1785014966.176,13.132,45.0228,174.43,87547904
1785014968.172,15.128,48.6089,179.66,87056384
1785014970.181,17.137,52.2428,180.85,87347200
1785014972.184,19.141,55.83,179.04,86523904
1785014974.189,21.145,59.5012,183.18,87379968
1785014976.192,23.148,63.116,180.47,87740416
1785014978.197,25.153,66.7434,180.91,87769088
1785014980.202,27.159,70.4257,183.59,87158784
1785014982.208,29.165,73.9842,177.39,88293376
1785014984.214,31.171,77.4587,173.21,86802432
1785014986.22,33.176,80.9619,174.68,87965696
1785014988.223,35.18,84.6394,183.55,87678976
1785014990.237,37.193,88.3034,181.95,88338432
1785014992.237,39.193,91.9684,183.25,87986176
1785014994.246,41.202,95.5761,179.58,87371776
1785014996.251,43.208,99.2384,182.64,87748608
1785014998.257,45.213,102.8809,181.65,87916544
1785015000.272,47.228,106.5409,181.6,87330816
1785015002.273,49.229,110.2442,185.08,87781376
1785015004.279,51.235,113.9107,182.76,86818816
1785015006.283,53.239,117.5765,182.91,87212032
1785015008.289,55.245,121.212,181.26,87883776
1785015010.294,57.25,124.788,178.34,88584192
1785015012.3,59.256,126.2476,72.75,81264640
