ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785015133.24,0.0,19.1574,,87838720
1785015134.32,1.081,22.6548,323.67,87912448
1785015136.327,3.087,26.2598,179.66,87756800
1785015138.33,5.091,29.786,175.99,87457792
1785015140.335,7.095,33.3096,175.79,87359488
1785015142.341,9.102,36.8222,175.07,87240704
1785015144.346,11.107,40.403,178.57,87339008
1785015146.353,13.113,44.0071,179.64,87175168
1785015148.363,15.123,47.5956,178.51,86892544
1785015150.368,17.129,51.1677,178.14,87760896
1785015152.373,19.133,54.7214,177.27,86622208
1785015154.376,21.137,58.3031,178.77,86994944
1785015156.381,23.141,61.9385,181.36,87785472
1785015158.394,25.154,65.5045,177.16,87711744
1785015160.397,27.158,69.079,178.41,87515136
1785015162.401,29.162,72.6426,177.82,87506944
1785015164.411,31.171,76.1822,176.18,86970368
1785015166.412,33.173,79.8377,182.61,88821760
1785015168.456,35.216,83.7255,190.27,79413248
1785015170.453,37.214,87.5273,190.31,78880768
1785015172.451,39.212,91.3195,189.8,78839808
1785015174.453,41.214,95.1359,190.62,78835712
1785015176.461,43.222,98.9317,189.03,78471168
1785015178.466,45.227,102.8194,193.9,74969088
1785015180.475,47.235,106.6062,188.54,74760192
1785015182.477,49.237,110.3644,187.7,75051008
1785015184.483,51.243,114.1333,187.91,75280384
1785015186.49,53.25,117.8409,184.73,75337728
1785015188.495,55.255,121.7266,193.81,75952128
1785015190.502,57.262,125.5118,188.61,76681216
1785015192.507,59.267,127.0582,77.11,70885376
