ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785014297.195,0.0,15.93,,93634560
1785014298.195,1.0,17.39,145.98,93683712
1785014299.196,2.0,18.94,154.96,93716480
1785014300.196,3.0,20.54,159.99,93716480
1785014301.196,4.001,22.16,161.99,91734016
1785014302.2,5.004,23.81,164.35,89915392
1785014303.2,6.005,25.44,162.96,90931200
1785014304.203,7.007,27.03,158.58,90947584
1785014305.203,8.007,28.59,155.99,91635712
1785014306.203,9.008,30.18,158.99,91635712
1785014307.203,10.008,31.73,154.96,91750400
1785014308.203,11.008,33.28,154.99,91897856
1785014309.203,12.008,34.85,156.99,91930624
1785014310.203,13.008,36.44,158.99,92291072
1785014311.203,14.008,37.99,154.99,92291072
1785014312.203,15.008,39.57,157.99,92291072
1785014313.203,16.008,41.25,167.99,93306880
1785014314.207,17.012,42.95,169.3,92700672
1785014315.211,18.016,44.57,161.35,92618752
1785014316.212,19.017,46.13,155.97,92454912
1785014317.212,20.017,47.74,160.97,92471296
1785014318.212,21.017,49.32,157.96,92782592
1785014319.215,22.02,50.92,159.55,93765632
1785014320.215,23.02,52.59,166.99,93536256
1785014321.215,24.02,54.12,153.0,98844672
1785014322.215,25.02,55.74,161.95,96845824
1785014323.216,26.021,57.38,163.87,96337920
1785014324.216,27.021,58.99,160.99,96206848
1785014325.217,28.022,60.59,159.92,94568448
1785014326.219,29.024,62.23,163.53,94420992
1785014327.22,30.024,63.8,156.99,95076352
1785014328.221,31.025,65.36,155.84,95076352
1785014329.221,32.025,67.09,172.99,95092736
1785014330.221,33.026,68.7,160.99,94961664
1785014331.223,34.028,70.34,163.67,94306304
1785014332.223,35.028,71.94,159.99,94142464
1785014333.223,36.028,73.58,163.97,94175232
1785014334.223,37.028,75.24,166.0,93831168
1785014335.223,38.028,76.8,155.96,96223232
1785014336.223,39.028,78.38,157.99,96370688
1785014337.225,40.03,79.96,157.66,96059392
1785014338.227,41.032,81.49,152.71,96092160
1785014339.227,42.032,83.09,159.98,96190464
1785014340.227,43.032,84.71,161.99,95191040
1785014341.232,44.037,86.35,163.25,94142464
1785014342.233,45.038,87.97,161.79,94093312
1785014343.234,46.038,89.61,163.97,94175232
1785014344.234,47.039,91.19,157.94,95256576
1785014345.234,48.039,92.82,162.99,95289344
1785014346.235,49.039,94.38,155.91,96108544
1785014347.24,50.044,95.97,158.21,96108544
1785014348.245,51.049,97.65,167.16,95404032
1785014349.245,52.05,99.25,159.99,94273536
1785014350.245,53.05,100.84,158.99,94175232
1785014351.249,54.054,102.46,161.35,95059968
1785014352.249,55.054,104.03,157.0,96403456
1785014353.25,56.055,105.63,159.8,96403456
1785014354.25,57.055,107.31,167.96,99745792
1785014355.252,58.057,108.87,155.7,98140160
1785014356.252,59.057,110.43,155.98,98172928
1785014357.254,60.059,112.04,160.7,98189312
