ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785014642.583,0.0,15.63,,91570176
1785014643.584,1.0,17.11,147.94,91832320
1785014644.584,2.0,18.62,150.99,91865088
1785014645.584,3.001,20.15,152.98,91881472
1785014646.584,4.001,21.69,153.98,92389376
1785014647.584,5.001,23.24,154.97,92405760
1785014648.584,6.001,24.79,154.99,92454912
1785014649.584,7.001,26.34,154.98,92454912
1785014650.584,8.001,27.91,156.99,92454912
1785014651.585,9.001,29.48,156.98,92454912
1785014652.585,10.002,31.01,152.95,93880320
1785014653.585,11.002,32.61,160.0,93093888
1785014654.585,12.002,34.12,150.99,93093888
1785014655.585,13.002,35.64,151.98,93126656
1785014656.585,14.002,37.16,151.99,93339648
1785014657.585,15.002,38.67,150.99,93339648
1785014658.585,16.002,40.23,155.99,93356032
1785014659.585,17.002,41.75,151.99,93405184
1785014660.586,18.002,43.27,151.96,93585408
1785014661.586,19.002,44.81,153.99,93585408
1785014662.586,20.002,46.41,159.98,93093888
1785014663.586,21.003,47.99,157.94,92831744
1785014664.586,22.003,49.56,156.98,92831744
1785014665.587,23.004,51.28,171.88,92848128
1785014666.587,24.004,52.62,133.98,92848128
1785014667.587,25.004,54.15,153.0,92880896
1785014668.587,26.004,55.66,150.99,92897280
1785014669.587,27.004,57.18,152.0,92897280
1785014670.589,28.005,58.64,145.78,92897280
1785014671.589,29.005,60.13,148.99,92913664
1785014672.589,30.006,61.59,145.95,92913664
1785014673.589,31.006,63.14,154.99,92700672
1785014674.589,32.006,64.61,146.98,92700672
1785014675.589,33.006,66.11,149.98,92700672
1785014676.593,34.009,67.62,150.53,92733440
1785014677.593,35.009,69.1,147.97,92766208
1785014678.593,36.01,70.57,146.98,92766208
1785014679.593,37.01,72.05,147.98,92798976
1785014680.593,38.01,73.55,149.99,92831744
1785014681.593,39.01,75.05,150.0,92848128
1785014682.595,40.012,76.58,152.68,92848128
1785014683.596,41.012,78.05,146.92,92880896
1785014684.602,42.019,79.72,165.93,92880896
1785014685.602,43.019,81.26,153.98,92880896
1785014686.602,44.019,82.81,154.99,92880896
1785014687.603,45.019,84.38,156.99,92880896
1785014688.604,46.021,85.9,151.75,92880896
1785014689.604,47.021,87.37,147.0,92897280
1785014690.604,48.021,88.87,149.98,92897280
1785014691.605,49.022,90.33,145.91,92897280
1785014692.606,50.023,91.82,148.84,93224960
1785014693.606,51.023,93.3,147.99,93241344
1785014694.606,52.023,94.8,149.98,93241344
1785014695.608,53.025,96.37,156.72,93011968
1785014696.608,54.025,97.98,160.98,93011968
1785014697.608,55.025,99.6,161.99,93011968
1785014698.615,56.031,101.24,162.93,93077504
1785014699.615,57.031,102.85,160.98,93093888
1785014700.615,58.032,104.45,159.99,92979200
1785014701.615,59.032,106.05,159.99,92979200
1785014702.615,60.032,107.61,155.99,92995584
