ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785015906.58,0.0,29.8679,,60133376
1785015907.654,1.074,35.2477,500.99,58281984
1785015909.655,3.076,40.6781,271.29,58281984
1785015911.659,5.079,46.0683,269.01,58519552
1785015913.663,7.084,51.4714,269.57,57937920
1785015915.668,9.088,56.8287,267.28,57970688
1785015917.671,11.091,62.2392,270.1,57110528
1785015919.675,13.095,67.785,276.72,56598528
1785015921.683,15.103,73.2039,269.91,56897536
1785015923.684,17.105,78.5976,269.47,57827328
1785015925.691,19.112,84.0528,271.81,57200640
1785015927.697,21.117,89.4513,269.13,56369152
1785015929.701,23.121,94.9049,272.16,57405440
1785015931.707,25.127,100.4185,274.87,56627200
1785015933.712,27.132,105.9091,273.86,55660544
1785015935.72,29.141,111.3226,269.52,57077760
1785015937.724,31.144,116.775,272.1,57556992
1785015939.732,33.153,122.1674,268.52,56762368
1785015941.742,35.162,127.6507,272.87,56811520
1785015943.749,37.169,133.0714,270.13,58281984
1785015945.752,39.172,138.4801,269.99,59473920
1785015947.756,41.177,143.7425,262.55,59564032
1785015949.762,43.182,149.061,265.17,58572800
1785015951.768,45.188,154.488,270.61,59596800
1785015953.774,47.194,159.8701,268.28,58855424
1785015955.78,49.2,165.2333,267.37,60174336
1785015957.783,51.203,170.5642,266.14,62611456
1785015959.792,53.213,176.0466,272.79,58888192
1785015961.806,55.226,181.4598,268.83,58556416
1785015963.812,57.232,186.9587,274.1,59506688
1785015965.82,59.24,189.1507,109.18,57647104
