ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785007577.349,0.0,28.67,,75563008
1785007578.353,1.004,31.44,275.89,75988992
1785007579.354,2.005,34.33,288.67,69533696
1785007580.354,3.006,37.14,280.9,70336512
1785007581.354,4.006,40.03,288.93,70746112
1785007582.356,5.007,42.84,280.51,70778880
1785007583.356,6.008,45.68,283.93,70811648
1785007584.357,7.008,48.51,282.97,71565312
1785007585.36,8.011,51.34,282.08,71565312
1785007586.36,9.011,54.19,284.94,75169792
1785007587.362,10.014,57.03,283.29,75169792
1785007588.366,11.018,59.87,282.91,75153408
1785007589.372,12.023,62.67,278.53,70664192
1785007590.375,13.026,65.61,293.13,66043904
1785007591.377,14.028,68.47,285.26,66715648
1785007592.377,15.028,71.31,283.99,68386816
1785007593.377,16.029,74.17,285.99,68222976
1785007594.377,17.029,77.03,285.99,65437696
1785007595.377,18.029,79.87,283.98,67764224
1785007596.378,19.029,82.71,283.93,67796992
1785007597.382,20.033,85.57,284.82,67813376
1785007598.382,21.033,88.42,284.99,68304896
1785007599.382,22.033,91.25,282.96,68009984
1785007600.383,23.034,94.08,282.71,68534272
1785007601.386,24.037,97.06,297.09,65208320
1785007602.386,25.037,99.88,281.96,66158592
1785007603.386,26.038,102.71,282.96,67731456
1785007604.388,27.039,105.55,283.58,68059136
1785007605.388,28.039,108.39,283.99,68091904
1785007606.388,29.039,111.27,287.94,69484544
1785007607.388,30.039,114.12,284.96,69484544
1785007608.39,31.041,116.97,284.52,69500928
1785007609.39,32.042,119.78,280.86,69500928
1785007610.391,33.042,122.61,282.8,74055680
1785007611.394,34.046,125.54,292.04,68009984
1785007612.394,35.046,128.38,283.95,71860224
1785007613.395,36.046,131.19,280.97,71892992
1785007614.395,37.046,134.03,283.97,71909376
1785007615.397,38.049,136.84,280.29,71909376
1785007616.397,39.049,139.72,287.97,71925760
1785007617.398,40.049,142.55,282.88,71925760
1785007618.398,41.05,145.36,280.83,71958528
1785007619.398,42.05,148.18,281.97,72171520
1785007620.403,43.054,151.02,282.82,72187904
1785007621.407,44.058,153.93,289.69,72237056
1785007622.407,45.059,156.84,290.9,65863680
1785007623.408,46.059,159.67,282.94,68747264
1785007624.408,47.059,162.49,281.91,68632576
1785007625.409,48.06,165.32,282.82,66322432
1785007626.409,49.06,168.17,284.99,68583424
1785007627.409,50.06,171.0,282.98,68583424
1785007628.409,51.06,173.91,290.94,69779456
1785007629.41,52.061,176.77,285.81,69976064
1785007630.41,53.062,179.6,282.84,69730304
1785007631.411,54.062,182.48,287.8,69419008
1785007632.412,55.063,185.34,285.72,66748416
1785007633.412,56.064,188.23,288.86,70057984
1785007634.413,57.064,191.07,283.92,70451200
1785007635.413,58.064,193.94,286.87,71303168
1785007636.413,59.064,196.8,285.97,71319552
1785007637.418,60.07,199.5,268.65,71319552
