ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785015776.859,0.0,29.61,,66469888
1785015777.86,1.0,32.45,283.98,66568192
1785015778.86,2.0,35.3,284.94,66633728
1785015779.86,3.001,38.29,298.91,66650112
1785015780.86,4.001,41.24,294.96,66650112
1785015781.863,5.004,44.11,286.1,66682880
1785015782.869,6.01,47.08,295.26,66682880
1785015783.869,7.01,50.08,299.97,63881216
1785015784.872,8.012,52.95,286.27,63930368
1785015785.872,9.013,55.82,286.98,63946752
1785015786.872,10.013,58.69,286.91,64110592
1785015787.872,11.013,61.57,287.97,64143360
1785015788.873,12.013,64.45,287.95,65814528
1785015789.873,13.013,67.36,290.99,65814528
1785015790.873,14.013,70.26,289.9,65830912
1785015791.874,15.015,73.13,286.66,65847296
1785015792.874,16.015,76.02,288.99,65880064
1785015793.874,17.015,78.93,290.93,65880064
1785015794.877,18.018,81.84,290.15,65847296
1785015795.877,19.018,84.67,282.99,65847296
1785015796.877,20.018,87.54,286.99,65847296
1785015797.881,21.021,90.58,302.94,65863680
1785015798.881,22.021,93.48,289.98,65912832
1785015799.881,23.022,96.37,288.98,66338816
1785015800.884,24.024,99.28,290.24,66355200
1785015801.889,25.029,102.25,295.49,65945600
1785015802.893,26.034,105.13,286.73,65552384
1785015803.893,27.034,107.91,277.98,65568768
1785015804.894,28.034,110.81,289.82,64765952
1785015805.895,29.035,113.62,280.81,64749568
1785015806.895,30.035,116.43,280.97,64765952
1785015807.895,31.035,119.22,278.99,64765952
1785015808.896,32.037,122.04,281.62,64815104
1785015809.896,33.037,124.86,281.96,64815104
1785015810.896,34.037,127.7,283.99,64815104
1785015811.898,35.038,130.54,283.58,64815104
1785015812.901,36.042,133.4,284.97,64831488
1785015813.901,37.042,136.24,283.98,64847872
1785015814.902,38.042,139.06,281.89,64847872
1785015815.906,39.047,142.01,293.72,64258048
1785015816.908,40.049,144.84,282.5,64290816
1785015817.91,41.05,147.68,283.45,64307200
1785015818.91,42.051,150.48,279.94,64421888
1785015819.91,43.051,153.28,279.98,64454656
1785015820.91,44.051,156.1,281.94,64454656
1785015821.913,45.054,158.93,282.14,64454656
1785015822.914,46.054,161.77,283.98,64454656
1785015823.914,47.054,164.6,282.98,64454656
1785015824.914,48.055,167.43,282.83,64471040
1785015825.914,49.055,170.27,283.96,64651264
1785015826.915,50.055,173.18,290.95,64569344
1785015827.915,51.055,176.04,285.98,64585728
1785015828.915,52.056,178.86,281.84,64585728
1785015829.915,53.056,181.71,284.96,64585728
1785015830.915,54.056,184.57,285.99,64585728
1785015831.916,55.056,187.41,283.93,64602112
1785015832.916,56.056,190.27,285.99,64602112
1785015833.923,57.064,193.16,286.78,64618496
1785015834.925,58.065,196.04,287.58,64618496
1785015835.925,59.065,198.89,284.98,64634880
1785015836.935,60.075,201.58,266.33,64651264
