ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785007228.979,0.0,315.93,,122109952
1785007229.984,1.005,316.34,40.79,119259136
1785007230.985,2.006,316.82,47.95,119259136
1785007231.986,3.007,317.4,57.97,119259136
1785007232.987,4.008,317.99,58.95,119259136
1785007233.991,5.012,318.62,62.75,119095296
1785007234.991,6.012,319.31,68.99,113246208
1785007235.991,7.012,320.01,69.99,112394240
1785007236.991,8.012,320.78,76.97,112394240
1785007237.991,9.012,321.61,83.0,108052480
1785007238.995,10.016,322.53,91.68,107528192
1785007240.0,11.021,323.56,102.49,93700096
1785007241.003,12.024,324.6,103.66,94371840
1785007242.004,13.025,325.73,112.96,94289920
1785007243.008,14.029,326.97,123.46,93978624
1785007244.008,15.029,328.25,127.99,93650944
1785007245.011,16.032,329.64,138.62,93716480
1785007246.011,17.032,331.07,142.92,92667904
1785007247.011,18.032,332.53,145.98,92798976
1785007248.012,19.033,334.09,155.85,92700672
1785007249.013,20.033,335.63,153.99,92651520
1785007250.013,21.034,337.24,160.89,92651520
1785007251.013,22.034,338.94,169.99,90718208
1785007252.016,23.037,340.61,166.55,92962816
1785007253.016,24.037,342.37,175.96,92962816
1785007254.016,25.037,344.12,174.99,94519296
1785007255.016,26.037,345.91,178.98,94519296
1785007256.016,27.037,347.78,186.98,94502912
1785007257.017,28.038,349.7,191.92,95338496
1785007258.017,29.038,351.7,199.96,99958784
1785007259.017,30.038,353.72,201.96,99958784
1785007260.017,31.038,355.8,207.99,99991552
1785007261.017,32.038,357.99,218.99,99991552
1785007262.018,33.039,360.35,235.76,100827136
1785007263.02,34.041,362.65,229.59,100859904
1785007264.025,35.046,364.99,232.96,100859904
1785007265.026,36.047,367.41,241.64,100843520
1785007266.027,37.048,369.91,249.82,100352000
1785007267.029,38.05,372.5,258.48,103956480
1785007268.03,39.05,375.25,274.82,103825408
1785007269.03,40.051,377.95,269.97,103825408
1785007270.03,41.051,380.68,272.98,103825408
1785007271.033,42.054,383.57,288.03,104267776
1785007272.033,43.054,386.45,287.9,104169472
1785007273.034,44.055,389.48,302.97,101629952
1785007274.038,45.059,392.51,301.62,107495424
1785007275.038,46.059,395.77,325.99,106348544
1785007276.042,47.063,399.08,329.68,105562112
1785007277.042,48.063,402.37,328.91,108740608
1785007278.043,49.064,405.64,326.81,108756992
1785007279.043,50.064,408.99,334.9,105349120
1785007280.044,51.065,412.41,341.92,110624768
1785007281.047,52.068,416.1,367.64,105103360
1785007282.048,53.069,419.7,359.81,104939520
1785007283.052,54.073,423.38,366.36,103841792
1785007284.053,55.074,427.12,373.87,103432192
1785007285.056,56.077,430.88,374.83,105988096
1785007286.056,57.077,434.49,360.94,106971136
1785007287.056,58.077,438.52,402.96,106283008
1785007288.059,59.08,442.48,394.63,103137280
1785007289.06,60.081,446.42,393.96,103596032
1785007290.064,61.085,450.56,412.1,106479616
1785007291.065,62.086,454.73,416.6,106430464
1785007292.066,63.086,458.9,416.83,106119168
1785007293.067,64.088,462.89,398.41,109969408
1785007294.07,65.091,467.56,465.41,114229248
1785007295.071,66.092,471.94,437.72,107134976
1785007296.074,67.095,476.25,429.86,108265472
1785007297.078,68.099,480.89,462.13,108298240
1785007298.078,69.099,485.53,463.98,108331008
1785007299.08,70.101,490.08,454.18,107855872
1785007300.08,71.101,494.69,460.97,109002752
1785007301.081,72.102,499.3,460.53,109740032
1785007302.081,73.102,504.05,474.82,120815616
1785007303.081,74.102,508.8,474.96,120717312
1785007304.082,75.103,513.64,483.71,115048448
1785007305.082,76.103,518.43,478.97,130023424
1785007306.082,77.103,523.4,496.74,111050752
1785007307.082,78.103,528.21,480.96,121634816
1785007308.083,79.104,533.46,524.95,118276096
1785007309.083,80.104,538.47,500.57,114098176
1785007310.086,81.107,543.85,536.67,112590848
1785007311.089,82.11,549.01,514.41,109494272
1785007312.089,83.11,553.72,470.96,138526720
1785007313.091,84.112,559.46,573.03,137953280
1785007314.092,85.113,564.77,530.34,120586240
1785007315.093,86.114,570.23,545.27,120995840
1785007316.097,87.118,575.97,572.03,120995840
1785007317.098,88.119,581.33,535.43,124895232
1785007318.098,89.119,587.53,619.98,127500288
1785007319.098,90.119,593.3,576.98,126304256
1785007320.101,91.122,599.03,570.98,122404864
1785007321.105,92.126,605.02,596.61,138100736
1785007322.106,93.127,611.03,600.63,144326656
1785007323.106,94.127,617.02,598.79,139345920
1785007324.112,95.132,623.29,623.84,137822208
1785007325.117,96.137,629.62,629.83,157433856
