ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785027182.763,0.0,7.7517,,107679744
1785027183.865,1.102,9.4004,149.58,107753472
1785027185.871,3.109,10.9095,75.21,107823104
1785027187.876,5.114,12.6429,86.45,107991040
1785027189.88,7.117,14.1441,74.94,108036096
1785027191.886,9.124,15.8909,87.04,108154880
1785027193.892,11.129,16.9788,54.25,115924992
1785027195.91,13.147,17.9184,46.56,134656000
1785027197.925,15.163,19.0232,54.82,149762048
1785027200.004,17.241,20.3764,65.1,167731200
1785027202.045,19.282,21.8803,73.68,189583360
1785027204.044,21.281,23.4991,80.98,214507520
1785027206.304,23.541,25.1532,73.19,227872768
1785027208.397,25.634,26.9291,84.86,249270272
1785027210.405,27.643,28.2733,66.93,261414912
1785027212.437,29.675,29.1707,44.16,261443584
1785027214.443,31.68,30.9094,86.71,262565888
1785027216.456,33.694,32.8101,94.39,272351232
1785027218.469,35.706,34.7883,98.29,272695296
1785027220.495,37.732,36.7232,95.51,272748544
1785027222.55,39.787,38.6318,92.88,270884864
1785027224.556,41.794,40.4848,92.36,268783616
1785027226.564,43.802,42.2151,86.16,268615680
1785027228.57,45.807,43.6952,73.8,268902400
1785027230.582,47.82,45.1316,71.38,268759040
1785027232.595,49.833,46.6083,73.36,268804096
1785027234.599,51.837,48.0806,73.46,266735616
1785027236.619,53.857,49.6629,78.34,266829824
1785027238.62,55.858,51.1844,76.03,267182080
1785027240.637,57.874,52.7879,79.52,267309056
1785027242.639,59.877,52.9669,8.94,253198336
