ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785027683.869,0.0,7.2079,,92590080
1785027685.282,1.413,8.453,88.15,93962240
1785027687.37,3.501,9.8955,69.07,94658560
1785027689.4,5.531,11.1609,62.32,105811968
1785027691.481,7.612,12.2472,52.22,117035008
1785027693.504,9.635,13.5974,66.72,115453952
1785027695.537,11.668,15.1089,74.37,118145024
1785027697.695,13.826,16.3114,55.72,132579328
1785027699.615,15.745,17.4431,58.95,145022976
1785027701.67,17.801,18.791,65.57,156930048
1785027703.68,19.81,20.1376,67.02,170749952
1785027705.757,21.887,21.3848,60.05,180146176
1785027707.847,23.978,22.8041,67.88,192262144
1785027709.974,26.105,24.2812,69.47,206700544
1785027712.025,28.156,26.4668,106.53,213385216
1785027714.085,30.216,28.0861,78.63,213241856
1785027716.294,32.425,29.9413,83.96,228356096
1785027718.357,34.488,31.4863,74.91,230887424
1785027720.351,36.481,33.2831,90.12,232525824
1785027722.487,38.618,35.0216,81.36,232747008
1785027724.524,40.654,36.2219,58.95,232820736
1785027726.615,42.746,37.85,77.85,232873984
1785027728.661,44.792,39.2499,68.41,232931328
1785027730.715,46.846,40.7512,73.09,232882176
1785027732.756,48.887,42.5342,87.37,232677376
1785027734.802,50.933,43.9567,69.53,232935424
1785027737.0,53.131,45.5754,73.65,232599552
1785027738.989,55.12,47.4561,94.52,234971136
1785027741.583,57.714,49.5189,79.53,234864640
1785027743.695,59.826,51.0059,70.4,234823680
1785027745.671,61.802,52.5001,75.64,235257856
1785027747.846,63.977,53.0162,23.73,220545024
