ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785016738.44,0.0,4.78,,57393152
1785016739.448,1.008,5.27,48.63,57409536
1785016740.448,2.008,5.74,46.99,57409536
1785016741.448,3.008,6.2,45.98,57409536
1785016742.449,4.009,6.64,43.99,57409536
1785016743.449,5.009,7.1,45.98,57458688
1785016744.45,6.01,7.58,47.97,57769984
1785016745.45,7.01,8.04,45.97,57573376
1785016746.45,8.01,8.49,45.0,57573376
1785016747.45,9.01,8.93,44.0,58228736
1785016748.451,10.011,9.41,47.97,58228736
1785016749.452,11.012,9.85,43.95,58228736
1785016750.453,12.013,10.31,45.96,58228736
1785016751.453,13.013,10.78,47.0,58327040
1785016752.454,14.014,11.32,53.96,58081280
1785016753.454,15.015,11.77,44.97,58081280
1785016754.455,16.015,12.23,45.99,58081280
1785016755.455,17.015,12.75,51.99,55476224
1785016756.455,18.015,13.25,50.0,55476224
1785016757.459,19.019,13.69,43.82,55476224
1785016758.459,20.019,14.15,45.99,55558144
1785016759.459,21.02,14.6,44.99,55672832
1785016760.462,22.022,15.06,45.87,55705600
1785016761.462,23.022,15.52,46.0,55705600
1785016762.464,24.024,16.0,47.92,55721984
1785016763.465,25.025,16.44,43.96,55705600
1785016764.465,26.025,16.9,46.0,55443456
1785016765.465,27.025,17.34,43.99,55443456
1785016766.467,28.027,17.87,52.93,55230464
1785016767.467,29.027,18.31,44.0,55246848
1785016768.467,30.027,18.77,46.0,55246848
1785016769.467,31.027,19.18,40.98,55246848
1785016770.469,32.029,19.63,44.91,55377920
1785016771.47,33.03,20.06,42.98,55377920
1785016772.47,34.03,20.52,46.0,55377920
1785016773.47,35.03,20.97,45.0,55377920
1785016774.47,36.03,21.43,45.97,55377920
1785016775.47,37.03,21.88,45.0,55377920
1785016776.471,38.031,22.34,45.98,55377920
1785016777.471,39.031,22.82,48.0,55443456
1785016778.471,40.031,23.28,45.99,55459840
1785016779.477,41.037,23.73,44.75,55459840
1785016780.477,42.037,24.19,45.99,55459840
1785016781.477,43.037,24.62,42.99,55459840
1785016782.482,44.042,25.04,41.79,55459840
1785016783.482,45.042,25.49,44.99,55459840
1785016784.483,46.043,26.0,50.95,55459840
1785016785.487,47.048,26.44,43.81,55640064
1785016786.488,48.048,26.89,45.0,55640064
1785016787.488,49.048,27.36,46.99,55558144
1785016788.488,50.048,27.85,48.98,55558144
1785016789.488,51.048,28.31,46.0,55558144
1785016790.491,52.051,28.75,43.87,55558144
1785016791.494,53.054,29.18,42.88,55558144
1785016792.496,54.056,29.65,46.92,55558144
1785016793.496,55.056,30.11,46.0,55558144
1785016794.497,56.057,30.57,45.96,55558144
1785016795.497,57.057,31.01,43.98,55558144
1785016796.499,58.059,31.47,45.9,55558144
1785016797.503,59.063,31.91,43.83,55558144
