ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785006414.477,0.0,7.74,,122093568
1785006415.479,1.002,9.1,135.68,122404864
1785006416.482,2.006,10.45,134.52,122404864
1785006417.483,3.006,11.91,145.98,122486784
1785006418.487,4.01,13.38,146.38,122486784
1785006419.487,5.01,14.69,130.97,122568704
1785006420.487,6.011,16.01,131.98,129564672
1785006421.488,7.011,17.44,142.91,141197312
1785006422.489,8.013,18.71,126.8,149520384
1785006423.489,9.013,19.9,118.99,164528128
1785006424.49,10.013,21.02,111.98,179257344
1785006425.492,11.015,22.2,117.75,197689344
1785006426.495,12.019,23.5,129.55,212746240
1785006427.496,13.02,24.84,133.85,233914368
1785006428.497,14.02,26.07,122.99,251985920
1785006429.499,15.023,27.29,121.64,257589248
1785006430.501,16.025,28.28,98.8,233373696
1785006431.502,17.025,29.39,110.98,256491520
1785006432.505,18.028,30.68,128.56,309084160
1785006433.505,19.029,31.84,115.97,336543744
1785006434.506,20.03,33.12,127.86,349241344
1785006435.511,21.035,34.27,114.45,307380224
1785006436.511,22.035,35.34,106.99,353255424
1785006437.511,23.035,36.01,66.99,252116992
1785006438.512,24.035,37.17,115.93,335708160
1785006439.512,25.036,38.35,117.99,391036928
1785006440.513,26.036,39.32,96.93,370475008
1785006441.515,27.038,40.21,88.83,276168704
1785006442.515,28.039,41.1,88.95,325910528
1785006443.516,29.039,41.62,51.98,220413952
1785006444.516,30.039,42.74,111.98,371965952
