ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785008323.045,0.0,11.26,,91881472
1785008324.045,1.0,12.3,103.99,92372992
1785008325.049,2.003,13.38,107.66,92372992
1785008326.049,3.003,14.48,109.98,92372992
1785008327.049,4.004,15.58,109.98,92274688
1785008328.053,5.007,16.67,108.59,92160000
1785008329.053,6.007,17.7,103.0,92160000
1785008330.053,7.007,18.74,103.99,92160000
1785008331.053,8.007,19.77,103.0,92192768
1785008332.053,9.008,20.92,114.98,92094464
1785008333.056,10.011,22.14,121.61,91815936
1785008334.06,11.015,23.2,105.54,91815936
1785008335.064,12.019,24.27,106.6,91340800
1785008336.064,13.019,25.42,114.98,91340800
1785008337.064,14.019,26.53,110.99,91406336
1785008338.065,15.019,27.61,107.98,91406336
1785008339.068,16.023,28.69,107.58,91422720
1785008340.069,17.023,29.72,102.99,91422720
1785008341.073,18.028,30.81,108.54,93519872
1785008342.073,19.028,31.89,107.99,93519872
1785008343.073,20.028,33.03,113.98,93749248
1785008344.074,21.028,34.08,104.95,93765632
1785008345.077,22.032,35.12,103.64,93765632
1785008346.077,23.032,36.15,102.99,93782016
1785008347.077,24.032,37.19,103.99,93798400
1785008348.077,25.032,38.22,102.99,93798400
1785008349.077,26.032,39.28,105.98,93798400
1785008350.078,27.033,40.31,102.92,93798400
1785008351.081,28.036,41.38,106.7,92553216
1785008352.082,29.036,42.46,107.94,92471296
1785008353.082,30.036,43.51,104.99,92471296
1785008354.082,31.036,44.58,107.0,91815936
1785008355.082,32.036,45.61,102.99,91832320
1785008356.082,33.036,46.65,103.99,91832320
1785008357.082,34.037,47.64,98.98,91848704
1785008358.082,35.037,48.67,103.0,91848704
1785008359.084,36.038,49.7,102.82,91865088
1785008360.084,37.038,50.73,103.0,91865088
1785008361.084,38.039,51.81,107.97,91865088
1785008362.084,39.039,52.85,103.99,91881472
1785008363.084,40.039,53.88,102.99,91881472
1785008364.084,41.039,55.0,111.99,91422720
1785008365.089,42.044,56.07,106.47,91832320
1785008366.094,43.048,57.12,104.54,92028928
1785008367.094,44.048,58.16,104.0,92143616
1785008368.096,45.051,59.19,102.75,92209152
1785008369.097,46.051,60.2,100.95,92258304
1785008370.097,47.052,61.23,102.92,92258304
1785008371.098,48.052,62.31,108.0,92274688
1785008372.098,49.052,63.36,104.98,92274688
1785008373.098,50.052,64.45,109.0,91668480
1785008374.098,51.053,65.48,103.0,91865088
1785008375.098,52.053,66.59,110.99,91521024
1785008376.098,53.053,67.66,106.98,91537408
1785008377.098,54.053,68.67,100.98,91537408
1785008378.098,55.053,69.71,103.98,91537408
1785008379.099,56.054,70.75,103.93,91553792
1785008380.099,57.054,71.84,108.99,91652096
1785008381.104,58.059,72.95,110.44,91652096
1785008382.104,59.059,74.04,108.99,91635712
1785008383.109,60.064,75.07,102.48,91652096
