ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785017465.435,0.0,10.56,,92028928
1785017466.435,1.0,11.57,100.99,92143616
1785017467.435,2.0,12.6,102.99,92176384
1785017468.436,3.0,13.67,106.99,92192768
1785017469.436,4.0,14.77,110.0,92241920
1785017470.436,5.0,15.85,107.99,92241920
1785017471.437,6.001,16.91,105.88,92258304
1785017472.437,7.002,18.01,109.98,92635136
1785017473.437,8.002,19.0,98.98,92635136
1785017474.437,9.002,20.02,101.99,92635136
1785017475.437,10.002,20.99,97.0,92635136
1785017476.437,11.002,21.99,99.99,92635136
1785017477.437,12.002,22.98,98.99,92635136
1785017478.438,13.002,23.99,100.99,92635136
1785017479.438,14.002,24.98,98.99,92635136
1785017480.438,15.002,25.96,97.99,92635136
1785017481.438,16.003,26.96,99.99,92635136
1785017482.438,17.003,27.97,101.0,92635136
1785017483.438,18.003,29.01,104.0,90193920
1785017484.438,19.003,29.99,97.99,90210304
1785017485.438,20.003,30.97,97.97,90210304
1785017486.438,21.003,31.95,97.98,90210304
1785017487.439,22.003,32.93,97.97,90226688
1785017488.439,23.004,33.89,95.99,90226688
1785017489.439,24.004,34.94,104.98,90292224
1785017490.439,25.004,35.98,104.0,90292224
1785017491.439,26.004,37.02,103.99,90292224
1785017492.439,27.004,38.06,104.0,90292224
1785017493.439,28.004,39.13,106.99,90144768
1785017494.44,29.004,40.28,114.96,89997312
1785017495.44,30.005,41.27,98.98,89997312
1785017496.44,31.005,42.32,105.0,89997312
1785017497.44,32.005,43.34,101.99,89997312
1785017498.44,33.005,44.42,107.99,89997312
1785017499.44,34.005,45.48,105.98,89997312
1785017500.44,35.005,46.55,106.99,90013696
1785017501.44,36.005,47.61,106.0,90013696
1785017502.44,37.005,48.67,105.98,90030080
1785017503.44,38.005,49.7,103.0,90030080
1785017504.441,39.006,50.8,109.89,90013696
1785017505.442,40.006,51.79,98.99,90701824
1785017506.446,41.011,52.78,98.53,90701824
1785017507.446,42.011,53.74,96.0,90701824
1785017508.448,43.013,54.73,98.82,90701824
1785017509.448,44.013,55.71,97.98,90701824
1785017510.453,45.017,56.68,96.58,90701824
1785017511.453,46.018,57.71,102.97,90701824
1785017512.453,47.018,58.75,103.99,90701824
1785017513.453,48.018,59.81,105.98,90701824
1785017514.453,49.018,60.84,103.0,90701824
1785017515.46,50.025,61.98,113.26,89899008
1785017516.46,51.025,63.02,103.99,90472448
1785017517.46,52.025,64.06,103.99,90488832
1785017518.46,53.025,65.09,102.98,90537984
1785017519.46,54.025,66.16,107.0,90652672
1785017520.46,55.025,67.2,103.99,90685440
1785017521.463,56.028,68.27,106.7,90685440
1785017522.463,57.028,69.33,105.99,90685440
1785017523.463,58.028,70.33,100.0,91045888
1785017524.463,59.028,71.31,97.99,91045888
1785017525.463,60.028,72.33,101.99,91111424
