ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785008061.381,0.0,136.85,,207323136
1785008062.386,1.005,137.0,14.92,207405056
1785008063.388,2.007,137.23,22.97,207421440
1785008064.388,3.007,137.51,28.0,207470592
1785008065.388,4.007,137.79,27.99,207470592
1785008066.388,5.007,138.03,23.99,207470592
1785008067.388,6.007,138.34,31.0,204767232
1785008068.389,7.008,138.65,30.99,204767232
1785008069.389,8.008,138.96,31.0,204783616
1785008070.389,9.008,139.3,34.0,204816384
1785008071.389,10.008,139.67,36.99,204816384
1785008072.39,11.008,140.13,45.99,196214784
1785008073.39,12.009,140.58,44.98,196132864
1785008074.392,13.011,141.06,47.91,191266816
1785008075.397,14.015,141.58,51.76,191660032
1785008076.401,15.019,142.09,50.79,191660032
1785008077.401,16.019,142.66,57.0,191660032
1785008078.401,17.02,143.3,63.99,191774720
1785008079.401,18.02,143.88,58.0,191873024
1785008080.404,19.023,144.52,63.78,191938560
1785008081.408,20.027,145.19,66.78,192004096
1785008082.409,21.027,145.91,71.94,192086016
1785008083.413,22.032,146.69,77.64,192086016
1785008084.413,23.032,147.45,76.0,192086016
1785008085.417,24.036,148.26,80.67,192282624
1785008086.417,25.036,149.1,83.99,192348160
1785008087.418,26.036,149.94,84.0,192348160
1785008088.418,27.036,150.86,91.99,192512000
1785008089.418,28.037,151.83,96.96,192544768
1785008090.418,29.037,152.78,95.0,192692224
1785008091.418,30.037,153.76,98.0,193986560
1785008092.418,31.037,154.79,102.99,194134016
1785008093.419,32.038,155.83,103.9,193822720
1785008094.419,33.038,156.94,111.0,193429504
1785008095.419,34.038,158.07,112.99,193429504
1785008096.419,35.038,159.2,112.99,193118208
1785008097.419,36.038,160.42,122.0,194002944
1785008098.42,37.038,161.66,123.97,194347008
1785008099.424,38.042,162.96,129.49,193314816
1785008100.424,39.042,164.23,126.99,194199552
1785008101.434,40.053,165.46,121.74,194248704
1785008102.434,41.053,166.79,132.99,180551680
1785008103.434,42.053,168.18,138.99,194838528
1785008104.435,43.053,169.59,140.92,196706304
1785008105.435,44.054,171.03,143.98,196706304
1785008106.435,45.054,172.46,142.96,196657152
1785008107.438,46.057,173.85,138.57,195969024
1785008108.438,47.057,175.31,145.99,195854336
1785008109.442,48.061,176.79,147.43,195936256
1785008110.443,49.062,178.39,159.77,193200128
1785008111.444,50.062,179.89,149.98,193642496
1785008112.447,51.066,181.44,154.53,195215360
1785008113.447,52.066,183.07,162.98,195215360
1785008114.448,53.067,184.67,159.86,195231744
1785008115.448,54.067,186.26,158.99,195231744
1785008116.449,55.068,187.92,165.79,195231744
1785008117.449,56.068,189.58,165.98,195264512
1785008118.45,57.069,191.28,169.79,195264512
1785008119.453,58.071,192.91,162.64,197230592
1785008120.453,59.072,194.76,184.99,196231168
1785008121.453,60.072,196.54,177.99,196329472
1785008122.454,61.073,198.32,177.81,196444160
1785008123.454,62.073,200.09,176.91,197754880
1785008124.454,63.073,201.91,181.99,197738496
1785008125.454,64.073,203.75,183.99,197738496
1785008126.454,65.073,205.6,184.98,197754880
1785008127.455,66.073,207.48,187.98,197754880
1785008128.455,67.074,209.42,193.95,197754880
1785008129.455,68.074,211.34,191.99,197754880
1785008130.455,69.074,213.3,195.97,197754880
1785008131.455,70.074,215.44,213.98,196313088
1785008132.455,71.074,217.49,204.95,197050368
1785008133.456,72.074,219.6,210.97,196591616
1785008134.459,73.078,221.76,215.29,196902912
1785008135.462,74.081,223.81,204.36,198377472
1785008136.467,75.085,225.99,216.99,198377472
1785008137.47,76.089,228.05,205.21,183140352
1785008138.472,77.091,229.14,108.86,184877056
1785008139.472,78.091,231.81,266.97,218103808
1785008140.478,79.097,234.09,226.65,209862656
1785008141.478,80.097,236.33,223.96,209518592
1785008142.478,81.097,238.75,241.97,208125952
1785008143.478,82.097,240.99,223.99,208322560
1785008144.478,83.097,243.37,237.99,204849152
1785008145.48,84.099,245.73,235.55,203210752
1785008146.484,85.103,248.17,243.09,203112448
1785008147.484,86.103,250.65,247.94,203112448
1785008148.484,87.103,253.05,239.97,203014144
1785008149.484,88.103,255.55,249.94,202948608
1785008150.492,89.11,258.12,255.2,202948608
1785008151.492,90.111,260.62,249.81,202948608
1785008152.492,91.111,263.3,267.97,199524352
1785008153.493,92.111,265.85,254.97,199901184
1785008154.493,93.111,268.48,262.96,201097216
1785008155.493,94.112,271.06,257.96,201113600
1785008156.493,95.112,273.77,270.9,200458240
1785008157.493,96.112,276.35,257.99,207405056
