ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785018796.32,0.0,2.9412,,112930816
1785018797.37,1.051,3.2676,31.06,115437568
1785018799.379,3.059,3.6413,18.61,118173696
1785018801.39,5.071,4.0079,18.22,120819712
1785018803.403,7.084,4.3047,14.75,132890624
1785018805.419,9.099,4.5097,10.17,139530240
1785018807.437,11.117,4.7465,11.73,143626240
1785018809.442,13.123,5.0652,15.89,150302720
1785018811.454,15.134,5.2599,9.68,150208512
1785018813.464,17.144,5.4635,10.13,150204416
1785018815.472,19.152,5.6564,9.61,150286336
1785018817.478,21.158,5.857,10.0,150315008
1785018819.494,23.174,6.0496,9.55,150867968
1785018821.499,25.18,6.2329,9.14,150421504
1785018823.513,27.193,6.4312,9.85,152625152
1785018825.529,29.209,6.6186,9.29,152502272
1785018827.55,31.23,6.7923,8.6,156790784
1785018829.576,33.256,7.0176,11.11,160067584
1785018831.601,35.282,7.1848,8.26,165380096
1785018833.613,37.293,7.454,13.38,170016768
1785018835.629,39.309,7.6128,7.88,169754624
1785018837.652,41.333,7.7902,8.77,169725952
1785018839.668,43.348,7.9759,9.21,169734144
1785018841.679,45.359,8.1816,10.23,169791488
1785018843.686,47.367,8.3823,10.0,170086400
1785018845.698,49.378,8.5439,8.03,169836544
1785018847.717,51.397,8.7315,9.29,169885696
1785018849.721,53.402,8.9411,10.46,170016768
1785018851.745,55.426,9.1531,10.48,169906176
1785018853.77,57.45,9.3206,8.27,170004480
1785018855.786,59.466,9.5044,9.11,170065920
1785018857.807,61.487,9.6409,6.76,169799680
1785018859.82,63.5,9.9048,13.11,169934848
1785018861.836,65.516,10.0671,8.05,169959424
1785018863.844,67.524,10.2609,9.65,170139648
1785018865.88,69.561,10.7771,25.35,158302208
