ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785019117.345,0.0,2.6242,,39501824
1785019118.397,1.053,3.0934,44.57,40202240
1785019120.404,3.059,3.5758,24.04,40423424
1785019122.411,5.066,4.0443,23.35,40493056
1785019124.412,7.067,4.5251,24.03,40112128
1785019126.429,9.085,5.0264,24.84,40325120
1785019128.431,11.087,5.4848,22.9,40464384
1785019130.442,13.097,5.9369,22.49,40591360
1785019132.441,15.097,6.4119,23.76,40194048
1785019134.447,17.102,6.8714,22.91,40386560
1785019136.456,19.112,7.3171,22.18,40509440
1785019138.479,21.135,7.7898,23.36,40628224
1785019140.464,23.119,8.2652,23.95,41058304
1785019142.473,25.128,8.7629,24.77,40509440
1785019144.477,27.132,9.2036,21.99,40599552
1785019146.482,29.137,9.6521,22.37,40546304
1785019148.488,31.143,10.1536,25.0,40284160
1785019150.492,33.147,10.5862,21.59,40857600
1785019152.499,35.155,11.055,23.35,40910848
1785019154.506,37.161,11.4746,20.91,40493056
1785019156.513,39.169,11.9824,25.3,42610688
1785019158.521,41.176,12.4588,23.73,42254336
1785019160.526,43.182,12.908,22.4,42659840
1785019162.535,45.19,13.3939,24.19,42586112
1785019164.537,47.192,13.8292,21.74,42909696
1785019166.542,49.198,14.302,23.57,43057152
1785019168.548,51.204,14.7721,23.44,43298816
1785019170.553,53.208,15.2139,22.04,43048960
1785019172.559,55.215,15.7,24.22,43327488
1785019174.562,57.218,16.152,22.57,43241472
1785019176.569,59.224,16.3303,8.88,41463808
