ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785018571.437,0.0,3.73,,58703872
1785018572.442,1.006,3.99,25.85,58703872
1785018573.45,2.013,4.37,37.72,58703872
1785018574.452,3.015,4.7,32.93,58703872
1785018575.453,4.016,5.16,45.96,58703872
1785018576.454,5.017,5.5,33.97,58703872
1785018577.463,6.027,5.87,36.66,58785792
1785018578.464,7.027,6.25,37.98,58785792
1785018579.474,8.037,6.63,37.62,58802176
1785018580.474,9.037,7.02,39.0,58818560
1785018581.474,10.038,7.42,39.97,58818560
1785018582.484,11.048,7.81,38.61,58818560
1785018583.491,12.055,8.19,37.74,58818560
1785018584.492,13.056,8.59,39.96,58818560
1785018585.493,14.056,8.89,29.99,57835520
1785018586.495,15.059,9.31,41.88,58753024
1785018587.505,16.069,9.63,31.68,58933248
1785018588.506,17.07,10.05,41.98,59326464
1785018589.516,18.08,10.47,41.58,59342848
1785018590.52,19.084,10.86,38.84,59342848
1785018591.526,20.09,11.23,36.78,59342848
1785018592.526,21.09,11.63,39.99,59342848
1785018593.537,22.1,12.0,36.63,59752448
1785018594.545,23.109,12.42,41.65,59883520
1785018595.546,24.109,12.79,36.97,59867136
1785018596.546,25.11,13.17,37.99,59867136
1785018597.554,26.117,13.49,31.76,59867136
1785018598.559,27.122,13.9,40.8,59867136
1785018599.559,28.123,14.27,36.98,59867136
1785018600.56,29.124,14.66,38.96,59867136
1785018601.561,30.125,15.03,36.97,60030976
1785018602.563,31.127,15.42,38.91,60227584
1785018603.572,32.135,15.79,36.69,60293120
1785018604.574,33.137,16.16,36.93,60293120
1785018605.58,34.144,16.52,35.77,60293120
1785018606.582,35.146,16.92,39.91,59392000
1785018607.592,36.156,17.25,32.67,59392000
1785018608.592,37.156,17.67,41.99,59457536
1785018609.602,38.166,18.06,38.63,59473920
1785018610.603,39.167,18.49,42.96,59473920
1785018611.603,40.167,18.87,38.0,59490304
1785018612.603,41.167,19.28,40.99,59850752
1785018613.612,42.175,19.66,37.68,59850752
1785018614.613,43.176,20.06,39.97,57786368
1785018615.622,44.185,20.43,36.66,57376768
1785018616.623,45.187,20.85,41.95,57376768
1785018617.629,46.193,21.17,31.81,57344000
1785018618.639,47.203,21.53,35.64,57737216
1785018619.644,48.208,21.92,38.81,57753600
1785018620.648,49.211,22.35,42.85,57769984
1785018621.658,50.221,22.69,33.66,58048512
1785018622.668,51.231,23.09,39.6,58064896
1785018623.677,52.24,23.48,38.66,58195968
1785018624.679,53.243,23.89,40.91,58195968
1785018625.688,54.251,24.24,34.7,58195968
1785018626.692,55.255,24.65,40.83,58195968
1785018627.693,56.256,25.02,36.95,58179584
1785018628.693,57.257,25.41,38.99,58146816
1785018629.694,58.258,25.79,37.97,58163200
1785018630.694,59.258,26.24,44.99,58163200
