ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785020245.47,0.0,13.6734,,25489408
1785020246.514,1.044,16.1253,234.89,24899584
1785020248.517,3.047,18.6053,123.8,24559616
1785020250.521,5.051,21.071,123.03,25464832
1785020252.527,7.057,23.5727,124.71,25194496
1785020254.532,9.062,25.9887,120.49,25477120
1785020256.537,11.067,28.4189,121.23,25735168
1785020258.542,13.072,30.8334,120.43,25710592
1785020260.548,15.078,33.3109,123.51,25395200
1785020262.555,17.085,35.7414,121.09,26288128
1785020264.562,19.092,38.1715,121.09,24981504
1785020266.566,21.095,40.5765,120.04,26107904
1785020268.57,23.1,42.999,120.86,25022464
1785020270.574,25.104,45.4415,121.87,25849856
1785020272.579,27.109,47.8438,119.84,25632768
1785020274.584,29.114,50.263,120.66,25456640
1785020276.588,31.118,52.7434,123.75,25100288
1785020278.592,33.122,55.1769,121.41,25595904
1785020280.597,35.127,57.7277,127.27,24481792
1785020282.604,37.134,60.1412,120.23,24723456
1785020284.606,39.136,62.6003,122.84,24997888
1785020286.61,41.14,65.1409,126.77,25767936
1785020288.615,43.145,67.5724,121.26,26025984
1785020290.62,45.15,70.056,123.89,24743936
1785020292.624,47.154,72.5814,126.01,23621632
1785020294.628,49.158,75.0762,124.52,25268224
1785020296.633,51.162,77.5044,121.11,24014848
1785020298.638,53.168,79.9615,122.53,26177536
1785020300.645,55.174,82.4787,125.45,23552000
1785020302.653,57.182,85.029,127.0,25497600
1785020304.661,59.191,85.9943,48.05,24657920
