ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785019419.696,0.0,13.78,,43974656
1785019420.7,1.003,15.14,135.57,44285952
1785019421.7,2.003,16.56,141.99,44040192
1785019422.7,3.003,17.92,135.98,43335680
1785019423.7,4.004,19.23,130.98,43335680
1785019424.708,5.011,20.56,131.99,43335680
1785019425.708,6.011,21.87,131.0,43335680
1785019426.708,7.011,23.23,135.99,43368448
1785019427.708,8.012,24.58,134.96,43417600
1785019428.711,9.015,25.94,135.6,43433984
1785019429.711,10.015,27.29,134.98,43433984
1785019430.714,11.018,28.67,137.54,43450368
1785019431.717,12.02,30.06,138.72,43450368
1785019432.719,13.022,31.48,141.68,43630592
1785019433.719,14.023,32.82,133.97,43630592
1785019434.719,15.023,34.2,137.98,43630592
1785019435.719,16.023,35.54,133.99,43630592
1785019436.72,17.024,36.9,135.89,44204032
1785019437.72,18.024,38.25,134.98,44204032
1785019438.72,19.024,39.6,134.99,44220416
1785019439.72,20.024,40.96,135.98,44466176
1785019440.723,21.027,42.3,133.66,44482560
1785019441.723,22.027,43.64,133.99,44482560
1785019442.723,23.027,44.99,134.97,44482560
1785019443.724,24.027,46.38,138.92,44449792
1785019444.729,25.032,47.73,134.36,44466176
1785019445.729,26.032,49.08,134.97,44482560
1785019446.729,27.033,50.43,134.94,44482560
1785019447.729,28.033,51.81,137.99,44498944
1785019448.73,29.033,53.16,134.97,44498944
1785019449.73,30.034,54.49,132.93,44843008
1785019450.73,31.034,55.8,130.98,44843008
1785019451.73,32.034,57.12,131.99,45170688
1785019452.731,33.034,58.52,139.92,45187072
1785019453.731,34.035,59.92,139.97,44023808
1785019454.731,35.035,61.29,136.96,43778048
1785019455.733,36.037,62.66,136.75,43778048
1785019456.733,37.037,64.05,138.98,43810816
1785019457.734,38.038,65.42,136.9,43810816
1785019458.734,39.038,66.78,135.95,43810816
1785019459.735,40.038,68.14,135.97,43810816
1785019460.735,41.038,69.49,134.99,43810816
1785019461.735,42.038,70.86,136.98,43958272
1785019462.735,43.038,72.23,136.99,43958272
1785019463.739,44.042,73.59,135.49,44220416
1785019464.739,45.042,74.97,137.98,42942464
1785019465.739,46.042,76.32,134.99,43171840
1785019466.739,47.043,77.67,134.92,43171840
1785019467.74,48.043,79.03,135.96,43171840
1785019468.74,49.043,80.38,135.0,43171840
1785019469.747,50.051,81.73,133.99,43302912
1785019470.747,51.051,83.08,134.97,43302912
1785019471.748,52.051,84.44,135.99,43712512
1785019472.748,53.052,85.78,133.95,43712512
1785019473.748,54.052,87.14,135.99,44007424
1785019474.748,55.052,88.5,135.98,44007424
1785019475.748,56.052,89.89,138.99,44007424
1785019476.748,57.052,91.22,132.96,44007424
1785019477.749,58.052,92.59,136.96,44007424
1785019478.749,59.052,93.94,134.99,44007424
