ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785019763.351,0.0,14.24,,47054848
1785019764.351,1.0,15.65,140.96,47513600
1785019765.351,2.0,17.1,144.99,47513600
1785019766.354,3.003,18.53,142.57,47562752
1785019767.355,4.004,19.94,140.92,46956544
1785019768.355,5.004,21.29,134.98,46972928
1785019769.358,6.007,22.67,137.57,46972928
1785019770.358,7.007,24.05,137.99,47005696
1785019771.358,8.007,25.45,139.98,47022080
1785019772.358,9.008,26.86,140.96,47071232
1785019773.359,10.009,28.33,146.86,46465024
1785019774.36,11.009,29.78,144.96,46678016
1785019775.36,12.009,31.22,143.98,46694400
1785019776.36,13.009,32.64,141.98,47333376
1785019777.361,14.011,34.02,137.8,47333376
1785019778.363,15.012,35.37,134.83,47349760
1785019779.363,16.012,36.73,135.99,47382528
1785019780.364,17.013,38.15,141.79,47382528
1785019781.365,18.014,39.57,141.94,47382528
1785019782.37,19.019,41.0,142.27,47382528
1785019783.37,20.019,42.43,142.98,47398912
1785019784.37,21.019,43.9,146.98,46940160
1785019785.37,22.019,45.31,140.97,47300608
1785019786.37,23.02,46.69,137.98,47300608
1785019787.371,24.02,48.06,136.95,47300608
1785019788.376,25.025,49.43,136.25,47333376
1785019789.376,26.025,50.81,138.0,47333376
1785019790.377,27.026,52.26,144.96,47349760
1785019791.377,28.026,53.68,141.97,47349760
1785019792.377,29.027,55.11,142.9,47366144
1785019793.382,30.031,56.55,143.35,47366144
1785019794.382,31.031,58.03,147.99,47398912
1785019795.382,32.031,59.39,135.98,47398912
1785019796.389,33.038,60.76,136.13,47398912
1785019797.389,34.038,62.12,135.98,47398912
1785019798.389,35.038,63.52,139.99,47431680
1785019799.389,36.038,64.91,139.0,47448064
1785019800.389,37.038,66.33,142.0,47448064
1785019801.389,38.038,67.73,139.97,47448064
1785019802.389,39.039,69.14,140.96,47448064
1785019803.39,40.039,70.61,146.95,47857664
1785019804.39,41.039,72.0,138.98,47923200
1785019805.39,42.039,73.43,142.98,43286528
1785019806.39,43.04,74.8,136.95,43286528
1785019807.391,44.04,76.18,137.93,43286528
1785019808.392,45.042,77.61,142.78,43286528
1785019809.393,46.042,79.01,139.93,43286528
1785019810.393,47.042,80.44,142.98,43302912
1785019811.393,48.043,81.89,144.95,43335680
1785019812.394,49.043,83.32,142.98,43597824
1785019813.394,50.043,84.71,138.99,44711936
1785019814.403,51.052,86.14,141.74,45711360
1785019815.403,52.052,87.54,139.99,45711360
1785019816.403,53.052,89.02,147.95,44204032
1785019817.403,54.052,90.43,140.96,44204032
1785019818.404,55.053,91.85,141.93,44204032
1785019819.404,56.053,93.24,138.99,44204032
1785019820.404,57.053,94.66,141.98,44204032
1785019821.404,58.053,96.09,142.95,44220416
1785019822.405,59.054,97.51,141.93,44220416
