ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785060336.165,0.0,16.9204,,114429952
1785060337.527,1.362,20.4103,256.15,156536832
1785060339.411,3.246,22.5645,114.36,161538048
1785060341.477,5.312,25.514,142.78,180047872
1785060343.555,7.39,29.1545,175.19,177659904
1785060345.55,9.385,32.4716,166.25,205553664
1785060347.656,11.491,35.5135,144.45,213413888
1785060349.774,13.609,38.7867,154.55,218103808
1785060351.846,15.681,42.4537,176.95,232218624
1785060353.902,17.737,45.578,152.0,250454016
1785060356.078,19.913,49.2391,168.23,270770176
1785060358.398,22.233,54.5406,228.51,297033728
1785060361.104,24.939,59.6925,190.39,311742464
1785060363.966,27.801,65.6513,208.19,331722752
1785060367.173,31.008,71.8237,192.48,321396736
1785060369.997,33.833,75.9618,146.51,338268160
1785060372.367,36.202,81.8976,250.48,386428928
1785060374.726,38.561,87.9852,258.12,422846464
1785060376.882,40.717,94.4773,301.1,475762688
1785060379.415,43.25,101.2233,266.3,470388736
1785060402.103,65.938,127.5513,116.05,467656704
1785060403.45,67.286,127.7585,15.38,465805312
1785060405.491,69.326,127.9536,9.56,465416192
1785060407.504,71.339,128.7587,39.99,438747136
