ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785099957.825,0.0,21.065,,94785536
1785099958.894,1.069,24.9949,367.63,95068160
1785099960.898,3.073,28.8344,191.57,96215040
1785099962.912,5.087,32.6235,188.16,95113216
1785099964.914,7.089,36.4961,193.46,95158272
1785099966.919,9.094,40.3196,190.65,95363072
1785099968.929,11.104,44.1283,189.53,94973952
1785099970.933,13.108,47.9944,192.86,94887936
1785099972.94,15.115,51.8503,192.18,94842880
1785099974.945,17.12,55.7028,192.08,94445568
1785099976.95,19.125,59.6318,196.0,94400512
1785099978.957,21.132,63.4883,192.17,94638080
1785099980.963,23.138,67.3766,193.83,94584832
1785099982.969,25.144,71.2336,192.3,95526912
1785099984.974,27.149,75.1027,192.94,95322112
1785099986.979,29.154,78.991,193.9,93769728
1785099988.994,31.169,82.8944,193.72,95072256
1785099990.993,33.168,86.7478,192.78,95739904
1785099993.006,35.181,90.6102,191.9,95436800
1785099995.006,37.181,94.4935,194.18,95428608
1785099997.009,39.184,98.3775,193.83,94801920
1785099999.024,41.199,102.2938,194.44,94904320
1785100001.022,43.197,106.2042,195.63,95035392
1785100003.027,45.202,110.1377,196.23,94887936
1785100005.033,47.208,113.9576,190.43,95145984
1785100007.037,49.213,117.8476,194.06,94965760
1785100009.048,51.223,121.7057,191.93,95096832
1785100011.055,53.23,125.577,192.85,95768576
1785100013.06,55.235,129.4085,191.13,95186944
1785100015.063,57.238,133.2723,192.86,95297536
1785100017.072,59.247,134.8096,76.52,88694784
