ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785085789.374,0.0,4.76,,166166528
1785085790.378,1.004,5.15,38.84,166248448
1785085791.379,2.005,5.6,44.97,166281216
1785085792.381,3.007,6.12,51.89,150323200
1785085793.383,4.009,6.59,46.91,150421504
1785085794.387,5.013,8.28,168.26,142082048
1785085795.388,6.015,8.7,41.94,138493952
1785085796.389,7.015,9.25,54.98,145227776
1785085797.394,8.02,9.72,46.78,161693696
1785085798.396,9.023,10.07,34.9,161742848
1785085799.398,10.025,10.64,56.89,163627008
1785085800.402,11.028,11.09,44.83,173228032
1785085801.402,12.029,11.66,57.0,174964736
1785085802.409,13.035,12.27,60.59,188186624
1785085803.414,14.041,12.91,63.66,188923904
1785085804.417,15.043,13.43,51.87,188809216
1785085805.419,16.046,13.9,46.88,201785344
1785085806.421,17.047,14.43,52.92,202981376
1785085807.427,18.053,14.8,36.77,195362816
1785085808.44,19.066,15.32,51.36,197459968
1785085809.443,20.07,15.84,51.81,213139456
1785085810.448,21.074,16.39,54.73,203456512
1785085811.449,22.076,16.91,51.94,224460800
1785085812.454,23.08,17.47,55.74,212287488
1785085813.459,24.085,18.07,59.7,222691328
1785085814.462,25.088,19.11,103.71,209747968
1785085815.465,26.091,19.6,48.84,220594176
1785085816.473,27.099,20.02,41.68,241729536
1785085817.474,28.1,20.64,61.94,226623488
1785085818.474,29.101,21.16,51.96,252362752
1785085819.475,30.101,21.79,62.97,284327936
1785085820.477,31.103,22.42,62.9,265371648
1785085821.477,32.103,22.81,38.98,249856000
1785085822.478,33.105,23.41,59.93,244170752
1785085823.479,34.105,24.08,66.97,267763712
1785085824.484,35.11,24.75,66.65,272302080
1785085825.485,36.112,25.31,55.92,284475392
1785085826.489,37.115,26.0,68.76,258293760
1785085827.491,38.118,26.7,69.83,261406720
1785085828.494,39.121,27.34,63.81,256491520
1785085829.495,40.122,27.99,64.95,299466752
1785085830.5,41.127,28.68,68.64,295518208
1785085831.504,42.13,29.38,69.76,290406400
1785085832.508,43.134,29.81,42.82,291405824
1785085833.513,44.139,30.41,59.73,262750208
1785085834.519,45.145,30.94,52.69,256229376
1785085835.523,46.149,31.51,56.76,274907136
1785085836.523,47.149,32.61,109.99,285130752
1785085837.525,48.152,33.43,81.81,210501632
1785085838.527,49.153,34.0,56.91,255459328
1785085839.528,50.155,34.66,65.91,289161216
1785085840.531,51.158,35.17,50.84,285179904
1785085841.534,52.16,35.56,38.9,284065792
1785085842.542,53.169,35.7,13.89,97976320
1785085843.545,54.171,35.98,27.93,214745088
1785085844.546,55.172,36.5,51.96,271040512
1785085845.549,56.175,36.96,45.84,252674048
1785085846.557,57.183,37.43,46.63,211828736
1785085847.561,58.187,37.65,21.92,193085440
1785085848.565,59.192,37.98,32.85,211304448
1785085849.566,60.192,38.49,50.96,240107520
1785085850.573,61.199,38.73,23.84,201752576
1785085851.578,62.204,38.83,9.95,107528192
1785085852.581,63.207,38.83,0.0,19841024
