ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785086825.301,0.0,12.24,,102416384
1785086826.301,1.0,13.6,135.99,103202816
1785086827.302,2.001,15.15,154.85,104988672
1785086828.312,3.01,16.76,159.51,104873984
1785086829.312,4.01,18.4,163.99,102137856
1785086830.315,5.014,19.98,157.48,101761024
1785086831.318,6.016,21.55,156.6,100302848
1785086832.318,7.017,23.17,161.91,100712448
1785086833.318,8.017,24.73,155.98,100859904
1785086834.319,9.018,26.39,165.88,100925440
1785086835.319,10.018,28.08,168.97,100941824
1785086836.319,11.018,29.7,161.99,100974592
1785086837.321,12.02,31.23,152.73,102531072
1785086838.321,13.02,32.8,156.99,106627072
1785086839.321,14.02,34.43,162.96,106217472
1785086840.322,15.02,35.96,152.96,115654656
1785086841.322,16.021,37.37,140.98,115392512
1785086842.326,17.025,39.01,163.34,105775104
1785086843.327,18.026,40.63,161.82,105840640
1785086844.331,19.03,42.24,160.35,105906176
1785086845.334,20.033,43.8,155.5,105922560
1785086846.334,21.033,45.39,158.99,105840640
1785086847.335,22.033,46.98,158.97,105906176
1785086848.336,23.034,48.62,163.8,105988096
1785086849.336,24.035,50.24,161.96,105922560
1785086850.339,25.037,51.89,164.6,105922560
1785086851.339,26.037,53.53,164.0,105857024
1785086852.339,27.037,54.88,134.97,110297088
1785086853.339,28.037,56.6,171.99,105037824
1785086854.339,29.038,58.22,161.97,105463808
1785086855.343,30.041,59.82,159.41,105562112
1785086856.344,31.042,61.33,150.88,105693184
1785086857.344,32.042,62.82,148.98,105644032
1785086858.344,33.042,64.4,157.98,105644032
1785086859.344,34.043,66.06,165.96,105447424
1785086860.346,35.045,67.81,174.64,105365504
1785086861.348,36.046,69.17,135.78,110100480
1785086862.351,37.05,70.74,156.44,110313472
1785086863.351,38.05,72.54,179.99,105644032
1785086864.351,39.05,74.19,164.99,105660416
1785086865.355,40.054,75.96,176.35,105742336
1785086866.36,41.058,77.29,132.38,105938944
1785086867.364,42.062,78.93,163.4,114507776
1785086868.364,43.062,80.67,173.98,108265472
1785086869.367,44.065,82.29,161.49,106561536
1785086870.367,45.065,83.87,158.0,106479616
1785086871.367,46.065,85.63,175.99,106283008
1785086872.367,47.066,87.3,166.99,105955328
1785086873.369,48.068,88.68,137.65,110542848
1785086874.37,49.068,90.35,166.96,108134400
1785086875.37,50.068,92.03,167.99,108199936
1785086876.372,51.071,93.3,126.66,106905600
1785086877.377,52.075,94.31,100.58,122945536
1785086878.379,53.078,94.64,32.91,124190720
1785086879.385,54.083,94.9,25.86,122011648
1785086880.385,55.084,95.3,39.99,140673024
1785086881.39,56.089,95.84,53.72,152059904
1785086882.392,57.091,96.3,45.91,153567232
1785086883.393,58.092,96.99,68.91,153403392
1785086884.4,59.099,97.47,47.69,177078272
1785086885.403,60.102,98.06,58.81,169115648
1785086886.403,61.102,98.18,12.0,168509440
