ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785087003.138,0.0,1.0,5.49409,,11.0,27.0,54912416.0,220716.0,2000114824.0,1.52473,0.0,0.0,82564.0
1785087004.141,1.003,1.0,5.729445,,1620.0,1779.0,33481944.0,147493.0,2072054112.0,1.539263,2.0,2.0,86001.0
1785087005.142,2.004,1.0,6.236703,,1706.0,1727.0,39065624.0,165665.0,2265581632.0,1.767388,2.0,2.0,93669.0
1785087006.144,3.005,1.0,6.807634,,1884.0,3196.0,60509416.0,248291.0,2467323352.0,1.991865,3.0,3.0,102575.0
1785087007.146,4.007,1.0,7.13587,,2008.0,3068.0,72759152.0,375171.0,2570650360.0,2.065508,8.0,8.0,106342.0
1785087008.15,5.012,1.0,7.566641,,2058.0,3589.0,53504840.0,192445.0,2735086960.0,2.161622,7.0,7.0,113395.0
1785087009.155,6.017,1.0,8.171335,,2320.0,2603.0,71364992.0,282137.0,2954660760.0,2.417145,0.0,0.0,122466.0
1785087010.157,7.019,1.0,8.628422,,2450.0,4188.0,63742904.0,229616.0,3132127904.0,2.621524,3.0,3.0,129828.0
1785087011.157,8.019,1.0,9.135562,,2696.0,3186.0,90550928.0,428157.0,3313653400.0,2.909724,6.0,6.0,137675.0
1785087012.157,9.019,1.0,9.700147,,2831.0,2848.0,46110704.0,173226.0,3507982520.0,3.042306,0.0,0.0,145632.0
1785087013.158,10.02,1.0,11.312254,,2831.0,2969.0,43467216.0,159193.0,3878387360.0,3.046316,0.0,0.0,161576.0
1785087014.159,11.02,1.0,11.900626,,3067.0,4131.0,96301808.0,382820.0,4142766856.0,3.432179,3.0,3.0,171222.0
1785087015.159,12.021,1.0,12.348983,,3077.0,3787.0,67367800.0,282161.0,4278557136.0,3.505037,7.0,7.0,178231.0
1785087016.161,13.023,1.0,12.93432,,3320.0,4345.0,109734704.0,501917.0,4513044480.0,3.699527,8.0,8.0,188074.0
1785087017.162,14.024,1.0,13.4255,,3497.0,3538.0,124901656.0,538943.0,4690633024.0,3.836809,0.0,0.0,195315.0
1785087018.164,15.026,1.0,14.177937,,3554.0,3578.0,79806592.0,322674.0,4973231472.0,4.028024,2.0,2.0,207260.0
1785087019.164,16.026,1.0,14.705535,,3836.0,4296.0,138782544.0,641274.0,5177303968.0,4.184686,0.0,0.0,215585.0
1785087020.168,17.03,1.0,15.312039,,3966.0,5078.0,121054952.0,566523.0,5389981472.0,4.395345,3.0,3.0,225605.0
