ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785087093.864,0.0,1.0,6.268547,,11.0,148.0,68362360.0,295401.0,1972871176.0,1.427506,0.0,0.0,82289.0
1785087094.87,1.006,1.0,6.634732,,1683.0,2366.0,55421376.0,274349.0,2095419336.0,1.607183,26.0,26.0,88316.0
1785087095.871,2.007,1.0,6.802437,,1864.0,2001.0,55643016.0,263252.0,2155842024.0,1.774422,0.0,0.0,89917.0
1785087096.873,3.01,1.0,7.444352,,2040.0,2698.0,66253312.0,330782.0,2358783024.0,1.977189,52.0,52.0,98542.0
1785087097.873,4.01,1.0,7.890357,,2224.0,2467.0,65355160.0,316625.0,2512998904.0,2.126761,13.0,13.0,106464.0
1785087098.876,5.012,1.0,8.261532,,2259.0,2425.0,65105008.0,271105.0,2654442736.0,2.280663,4.0,4.0,111124.0
1785087099.877,6.013,1.0,8.676476,,2300.0,2769.0,47859040.0,209951.0,2789823792.0,2.515453,30.0,30.0,117942.0
1785087100.878,7.014,1.0,9.311303,,2559.0,2850.0,45475120.0,165210.0,2993351432.0,2.625952,3.0,3.0,126247.0
1785087101.879,8.015,1.0,9.766218,,2581.0,3845.0,67813160.0,317780.0,3139353256.0,2.885285,2.0,2.0,131436.0
1785087102.882,9.019,1.0,10.412206,,2608.0,3318.0,74353248.0,336220.0,3354693392.0,3.155718,113.0,113.0,140631.0
1785087103.885,10.021,1.0,10.703109,,2988.0,6078.0,72397552.0,334084.0,3452541728.0,3.292408,128.0,128.0,143964.0
1785087104.886,11.022,1.0,11.113696,,3123.0,3265.0,63010584.0,248639.0,3597929168.0,3.363523,3.0,3.0,150507.0
1785087105.889,12.025,1.0,11.827245,,3259.0,4290.0,97899312.0,475846.0,3829902520.0,3.551911,18.0,18.0,162271.0
1785087106.891,13.027,1.0,12.429328,,3427.0,3745.0,62171288.0,254301.0,4047009728.0,3.8254,19.0,19.0,169501.0
1785087107.894,14.03,1.0,12.710697,,3514.0,4265.0,99452328.0,485482.0,4155175536.0,3.879834,6.0,6.0,174116.0
1785087108.895,15.031,1.0,13.267705,,3537.0,3808.0,114553656.0,523476.0,4310591256.0,3.94884,7.0,7.0,180606.0
1785087109.898,16.034,1.0,13.734996,,3547.0,3756.0,71633808.0,300961.0,4444325656.0,4.143567,26.0,26.0,186306.0
1785087110.905,17.042,1.0,14.838295,,3695.0,4450.0,95082288.0,381783.0,4770632736.0,4.465599,8.0,8.0,200745.0
1785087112.209,18.345,1.0,15.025678,,3696.0,4196.0,90163312.0,407683.0,4825167872.0,4.471277,7.0,7.0,202633.0
1785087113.211,19.348,1.0,16.114327,,3706.0,3842.0,54018456.0,186708.0,5139289496.0,4.566624,0.0,0.0,216028.0
1785087114.213,20.349,1.0,17.415266,,3715.0,3936.0,97568432.0,459556.0,5480263264.0,4.586973,4.0,4.0,230663.0
1785087115.218,21.354,1.0,18.021471,,3763.0,4108.0,108553496.0,523879.0,5700428568.0,4.891042,41.0,41.0,240086.0
1785087116.223,22.359,1.0,18.758547,,4040.0,4252.0,102166592.0,467593.0,5918533776.0,4.985084,11.0,11.0,249295.0
1785087117.223,23.36,1.0,19.196161,,4043.0,4179.0,55693808.0,187772.0,6063120976.0,5.082924,0.0,0.0,255478.0
1785087118.224,24.36,1.0,20.190027,,4115.0,6065.0,113994096.0,439831.0,6399104448.0,5.594821,9.0,9.0,272750.0
1785087119.396,25.532,1.0,20.705082,,4238.0,5067.0,117456160.0,558709.0,6553230440.0,5.686553,49.0,49.0,276627.0
1785087120.396,26.532,1.0,21.482666,,4426.0,5580.0,132531864.0,630797.0,6834983784.0,5.992685,4.0,4.0,291273.0
1785087121.545,27.682,1.0,21.765651,,4496.0,4675.0,95055984.0,401983.0,6912048680.0,5.997197,0.0,0.0,291447.0
1785087122.546,28.682,1.0,22.41677,,4505.0,5496.0,116286088.0,541593.0,7087750768.0,6.067709,15.0,15.0,301441.0
1785087123.548,29.684,1.0,22.902908,,4507.0,4752.0,118408344.0,555195.0,7184012088.0,6.112932,1.0,1.0,303117.0
1785087124.549,30.686,1.0,23.882813,,4665.0,5845.0,127729680.0,539056.0,7489001480.0,6.501362,74.0,74.0,316933.0
1785087125.559,31.695,1.0,24.409888,,4720.0,5983.0,135929608.0,563091.0,7631915304.0,6.700811,69.0,69.0,327610.0
1785087127.015,33.151,1.0,24.911415,,4934.0,5586.0,129277768.0,595012.0,7789164688.0,6.787899,51.0,51.0,328718.0
1785087128.018,34.155,1.0,25.528242,,5014.0,5166.0,101826640.0,409303.0,7982598984.0,6.865172,1.0,1.0,336858.0
1785087129.019,35.155,1.0,26.451787,,5068.0,5960.0,127699312.0,585688.0,8324638256.0,7.0037,18.0,18.0,351595.0
