ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785087093.713,0.0,6.27,,159268864
1785087094.716,1.003,6.46,18.94,167231488
1785087095.72,2.007,6.78,31.86,167149568
1785087096.722,3.009,7.15,36.95,133677056
1785087097.723,4.01,7.68,52.93,138805248
1785087098.728,5.015,8.19,50.76,137838592
1785087099.728,6.016,8.54,34.97,138133504
1785087100.73,7.017,9.15,60.91,150208512
1785087101.734,8.022,9.56,40.82,159006720
1785087102.739,9.027,10.07,50.74,162316288
1785087103.744,10.031,10.6,52.75,166150144
1785087104.746,11.033,11.0,39.94,190906368
1785087105.75,12.038,11.58,57.72,170950656
1785087106.752,13.04,12.06,47.91,182042624
1785087107.757,14.044,12.58,51.76,177799168
1785087108.759,15.046,13.18,59.87,180420608
1785087109.76,16.048,13.74,55.92,146358272
1785087110.761,17.048,14.22,47.97,187269120
1785087111.764,18.051,14.75,52.85,175341568
1785087112.764,19.052,15.52,76.98,190709760
1785087113.764,20.052,16.96,143.99,174964736
1785087114.769,21.057,17.72,75.63,185319424
1785087115.77,22.058,18.33,60.93,190218240
1785087116.772,23.059,19.0,66.92,192053248
1785087117.773,24.061,19.49,48.9,190136320
1785087118.774,25.061,19.99,49.97,199950336
1785087119.779,26.066,20.67,67.7,215711744
1785087120.78,27.067,21.21,53.93,215924736
1785087121.781,28.068,21.89,67.92,214876160
1785087122.781,29.069,22.5,60.98,170262528
1785087123.783,30.07,23.02,51.93,204783616
1785087124.786,31.073,23.7,67.76,218398720
1785087125.787,32.074,24.18,47.96,210042880
1785087126.787,33.074,24.73,55.0,206127104
1785087127.796,34.084,25.44,70.35,234356736
1785087128.799,35.086,26.06,61.83,229900288
1785087129.802,36.089,26.69,62.82,230211584
1785087130.804,37.091,27.46,76.86,236142592
1785087131.806,38.093,28.41,94.79,239583232
1785087132.812,39.099,28.94,52.71,238764032
1785087133.815,40.102,29.57,62.81,213696512
1785087134.819,41.107,30.05,47.77,223969280
1785087135.824,42.111,30.71,65.71,234864640
1785087136.825,43.112,31.19,47.95,257933312
1785087137.832,44.119,31.73,53.62,250085376
1785087138.834,45.121,32.46,72.86,265748480
1785087139.836,46.123,33.15,68.87,252919808
1785087140.838,47.125,33.67,51.88,238469120
1785087141.838,48.126,34.38,70.97,261111808
1785087142.838,49.126,36.26,187.98,277856256
1785087143.843,50.13,37.36,109.49,252788736
1785087144.85,51.137,38.03,66.56,259948544
1785087145.85,52.137,38.82,78.97,278544384
1785087146.851,53.139,39.48,65.92,265273344
1785087147.852,54.139,40.1,61.96,252575744
1785087148.857,55.145,40.71,60.66,258342912
1785087149.86,56.147,41.28,56.88,260980736
1785087150.863,57.15,41.97,68.79,288178176
1785087151.866,58.153,42.8,82.75,282509312
1785087152.871,59.158,43.31,50.73,274268160
1785087153.872,60.16,44.05,73.91,298762240
1785087154.878,61.166,44.6,54.66,254951424
1785087155.881,62.168,44.63,2.99,197967872
