ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785086314.113,0.0,16.32,,101662720
1785086315.117,1.003,17.88,155.52,101777408
1785086316.119,2.006,19.41,152.57,101220352
1785086317.122,3.009,20.79,137.61,98942976
1785086318.125,4.011,21.63,83.8,104366080
1785086319.129,5.015,22.53,89.65,121061376
1785086320.129,6.015,24.14,160.97,104054784
1785086321.129,7.015,25.78,163.99,104071168
1785086322.129,8.016,27.4,161.98,104595456
1785086323.129,9.016,28.98,157.97,104448000
1785086324.134,10.021,30.35,136.31,104824832
1785086325.134,11.021,31.94,158.99,93192192
1785086326.14,12.027,33.54,159.1,95240192
1785086327.14,13.027,35.14,159.96,94896128
1785086328.141,14.027,36.65,150.94,94896128
1785086329.141,15.027,38.26,160.99,94896128
1785086330.141,16.028,39.97,170.93,92569600
1785086331.142,17.028,41.52,154.92,92897280
1785086332.142,18.029,43.16,163.92,92930048
1785086333.142,19.029,44.69,152.99,92946432
1785086334.143,20.03,46.23,153.87,92962816
1785086335.143,21.03,47.86,162.98,93011968
1785086336.143,22.03,49.39,152.97,93224960
1785086337.144,23.03,50.99,159.91,93241344
1785086338.144,24.031,52.46,146.98,93126656
1785086339.144,25.031,54.04,157.99,93143040
1785086340.144,26.031,55.69,164.99,92749824
1785086341.145,27.031,57.19,149.95,92749824
1785086342.145,28.031,58.77,157.98,92897280
1785086343.145,29.031,60.4,162.99,92897280
1785086344.145,30.032,62.01,160.9,92897280
1785086345.147,31.034,63.59,157.68,92880896
1785086346.147,32.034,65.22,162.99,92880896
1785086347.148,33.034,66.79,156.96,92880896
1785086348.148,34.034,68.38,158.99,92880896
1785086349.148,35.034,69.9,152.0,92880896
1785086350.148,36.034,71.49,159.0,92880896
1785086351.148,37.035,73.22,172.96,92880896
1785086352.15,38.036,74.84,161.74,93765632
1785086353.152,39.039,76.04,119.71,95830016
1785086354.152,40.039,77.28,124.0,99614720
1785086355.152,41.039,78.84,155.99,99631104
1785086356.152,42.039,80.4,155.99,99598336
1785086357.154,43.04,81.99,158.74,95846400
1785086358.154,44.04,83.43,143.99,97746944
1785086359.154,45.041,84.91,147.96,94781440
1785086360.155,46.041,86.57,165.88,94486528
1785086361.155,47.042,88.2,162.94,93863936
1785086362.155,48.042,89.75,154.99,93863936
1785086363.158,49.045,91.41,165.51,93863936
1785086364.159,50.045,93.0,158.98,93896704
1785086365.159,51.045,94.63,162.98,93896704
1785086366.159,52.045,96.19,155.99,93913088
1785086367.159,53.046,97.79,159.92,93913088
1785086368.159,54.046,99.35,155.99,93913088
1785086369.16,55.046,100.88,152.95,93913088
1785086370.16,56.047,102.45,156.93,93913088
1785086371.164,57.051,103.98,152.38,94928896
1785086372.166,58.052,105.04,105.81,98353152
1785086373.167,59.054,106.05,100.87,115212288
1785086374.172,60.059,107.3,124.37,107528192
