ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785086487.306,0.0,15.78,,99336192
1785086488.307,1.0,17.25,146.97,99352576
1785086489.307,2.0,18.75,149.99,99368960
1785086490.307,3.001,20.28,152.94,99385344
1785086491.307,4.001,21.83,154.94,99418112
1785086492.307,5.001,23.35,151.99,99450880
1785086493.308,6.001,24.87,151.97,99516416
1785086494.308,7.002,26.43,155.95,99860480
1785086495.308,8.002,27.93,149.98,99876864
1785086496.308,9.002,29.48,154.94,100286464
1785086497.309,10.002,31.1,161.94,100335616
1785086498.309,11.003,32.62,151.99,100352000
1785086499.309,12.003,34.14,151.91,100401152
1785086500.31,13.003,35.67,152.99,100401152
1785086501.31,14.003,37.24,156.98,100417536
1785086502.313,15.007,38.81,156.48,100417536
1785086503.313,16.007,40.38,156.97,100450304
1785086504.313,17.007,41.95,156.97,100483072
1785086505.314,18.007,43.54,158.99,100139008
1785086506.314,19.007,45.15,160.98,100499456
1785086507.314,20.007,46.68,152.97,100515840
1785086508.315,21.009,48.3,161.77,97009664
1785086509.316,22.009,49.9,159.95,96632832
1785086510.316,23.009,51.44,153.98,96632832
1785086511.316,24.009,53.0,155.99,96665600
1785086512.316,25.009,54.57,156.98,96698368
1785086513.317,26.011,56.11,153.75,96714752
1785086514.318,27.011,57.67,155.95,96731136
1785086515.318,28.011,59.2,153.0,96763904
1785086516.318,29.011,60.74,154.0,97239040
1785086517.318,30.012,62.31,156.99,97255424
1785086518.318,31.012,63.95,163.96,98222080
1785086519.318,32.012,65.49,153.99,98238464
1785086520.326,33.019,67.04,153.88,98238464
1785086521.326,34.02,68.58,153.95,98271232
1785086522.327,35.021,70.21,162.74,98271232
1785086523.328,36.021,71.79,157.98,98271232
1785086524.328,37.021,73.32,152.99,98271232
1785086525.328,38.022,74.91,158.9,98271232
1785086526.33,39.023,76.44,152.79,98271232
1785086527.33,40.023,78.1,165.99,98058240
1785086528.33,41.024,79.75,164.98,98058240
1785086529.33,42.024,81.48,172.98,96796672
1785086530.331,43.024,83.18,169.89,97189888
1785086531.331,44.024,84.79,160.99,97222656
1785086532.331,45.024,86.32,152.99,101990400
1785086533.331,46.025,87.78,145.99,99762176
1785086534.332,47.025,89.35,156.91,99532800
1785086535.332,48.025,91.02,166.98,99254272
1785086536.334,49.028,92.56,153.65,98844672
1785086537.334,50.028,94.16,159.95,98713600
1785086538.335,51.028,95.69,152.92,100335616
1785086539.337,52.03,97.25,155.68,99909632
1785086540.337,53.031,98.93,167.99,102449152
1785086541.337,54.031,100.58,164.99,87932928
1785086542.337,55.031,102.14,155.99,87982080
1785086543.337,56.031,103.7,155.99,88031232
1785086544.337,57.031,105.31,160.94,88031232
1785086545.337,58.031,106.91,159.99,88031232
1785086546.338,59.032,108.46,154.87,88031232
1785086547.339,60.033,110.08,161.86,88031232
