ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785099366.917,0.0,6.24,,173948928
1785099367.926,1.009,6.79,54.5,173965312
1785099368.931,2.014,7.27,47.76,173965312
1785099369.937,3.02,7.9,62.62,154910720
1785099370.939,4.022,8.57,66.86,137101312
1785099371.939,5.023,9.14,56.98,139886592
1785099372.942,6.026,9.81,66.8,147931136
1785099373.942,7.026,10.81,99.99,151224320
1785099374.942,8.026,12.1,129.0,151224320
1785099375.943,9.027,12.6,49.96,159629312
1785099376.944,10.028,13.2,59.93,159711232
1785099377.95,11.033,13.81,60.69,174407680
1785099378.956,12.039,14.4,58.63,192069632
1785099379.957,13.041,15.1,69.9,198311936
1785099380.959,14.043,15.76,65.87,201654272
1785099381.965,15.049,16.36,59.64,208699392
1785099382.97,16.053,16.96,59.72,205881344
1785099383.976,17.059,17.68,71.58,206585856
1785099384.976,18.06,18.45,76.97,232849408
1785099385.976,19.06,19.26,80.99,258605056
1785099386.978,20.061,19.94,67.89,258785280
1785099387.983,21.066,20.66,71.64,258834432
1785099388.986,22.069,21.31,64.83,258916352
1785099389.986,23.069,21.77,45.98,221184000
1785099390.989,24.072,22.42,64.83,219480064
1785099391.989,25.072,23.11,68.99,223789056
1785099392.994,26.077,23.73,61.69,250462208
1785099393.998,27.082,24.54,80.65,251330560
1785099395.003,28.086,25.2,65.68,230653952
1785099396.004,29.088,26.07,86.9,276725760
1785099397.007,30.09,27.39,131.65,267714560
1785099398.012,31.095,28.61,121.39,225198080
1785099399.016,32.099,29.47,85.7,235192320
1785099400.016,33.099,30.24,76.99,231538688
1785099401.016,34.1,30.98,73.96,234242048
1785099402.02,35.103,31.76,77.73,270663680
1785099403.025,36.108,32.36,59.71,275136512
1785099404.027,37.111,33.08,71.81,278593536
1785099405.03,38.113,33.63,54.87,287850496
1785099406.031,39.114,34.46,82.88,272072704
1785099407.031,40.114,35.13,67.0,269778944
1785099408.036,41.12,35.89,75.59,272744448
1785099409.042,42.125,36.85,95.51,292732928
1785099410.045,43.128,37.61,75.75,315490304
1785099411.049,44.133,38.11,49.78,316129280
1785099412.05,45.133,38.89,77.96,313180160
1785099413.05,46.133,39.61,71.99,320651264
1785099414.051,47.134,40.34,72.93,338935808
1785099415.055,48.138,41.1,75.69,342032384
1785099416.06,49.143,41.9,79.6,340738048
1785099417.061,50.144,42.62,71.93,359153664
1785099418.062,51.145,43.29,66.94,329613312
1785099419.064,52.147,44.17,87.83,333037568
1785099420.067,53.15,45.02,84.71,329809920
1785099421.069,54.153,46.07,104.78,349814784
1785099422.07,55.153,47.85,177.86,307888128
1785099423.07,56.154,48.55,69.97,300515328
1785099424.071,57.154,49.31,75.96,297680896
1785099425.074,58.158,49.96,64.77,301531136
1785099426.075,59.158,50.59,62.97,298598400
1785099427.079,60.163,51.46,86.62,312852480
1785099428.084,61.167,51.87,40.83,309952512
