ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785100945.443,0.0,24.9938,,103923712
1785100946.727,1.284,29.249,331.39,111419392
1785100948.771,3.328,32.888,178.0,110055424
1785100950.78,5.337,37.469,228.07,113709056
1785100952.801,7.358,41.9122,219.85,127344640
1785100954.822,9.38,46.3986,221.91,136527872
1785100956.853,11.411,51.2002,236.41,151433216
1785100958.883,13.44,56.5313,262.73,157335552
1785100960.912,15.469,61.3623,238.08,164179968
1785100962.925,17.482,66.2294,241.73,168046592
1785100964.969,19.526,71.2806,247.15,191684608
1785100967.007,21.565,76.5279,257.43,204730368
1785100969.015,23.572,81.4241,243.93,198590464
1785100971.037,25.594,86.4815,250.11,211419136
1785100973.119,27.677,91.4735,239.67,193814528
1785100975.189,29.747,96.5433,244.93,196263936
1785100977.212,31.769,101.2184,231.18,206598144
1785100979.211,33.768,105.1845,198.4,178548736
1785100981.277,35.834,110.5628,260.3,210976768
1785100983.325,37.882,115.5751,244.8,186822656
1785100985.334,39.891,120.8844,264.26,219717632
1785100987.408,41.965,125.9311,243.28,212197376
1785100989.447,44.004,131.4555,270.97,227373056
1785100991.448,46.005,136.8941,271.77,236236800
1785100993.476,48.034,141.9992,251.67,231931904
1785100995.507,50.064,148.1834,304.6,258174976
1785100997.571,52.129,154.0126,282.33,231297024
1785100999.641,54.199,158.7763,230.13,224317440
1785101001.667,56.224,163.4085,228.67,214876160
1785101003.74,58.298,167.3369,189.46,221990912
1785101005.712,60.269,167.3793,2.15,211668992
