ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785064029.341,0.0,16.74,,64684032
1785064030.345,1.004,18.41,166.37,65404928
1785064031.348,2.006,20.14,172.56,65912832
1785064032.348,3.006,21.79,164.99,67190784
1785064033.348,4.006,23.49,170.0,67207168
1785064034.353,5.012,25.16,166.05,67223552
1785064035.353,6.012,26.85,168.99,67321856
1785064036.354,7.013,28.52,166.9,67354624
1785064037.354,8.013,30.18,165.99,67796992
1785064038.354,9.013,31.82,163.96,67829760
1785064039.357,10.015,33.56,173.59,64815104
1785064040.357,11.015,35.22,165.99,65126400
1785064041.357,12.016,36.85,162.93,65224704
1785064042.357,13.016,38.47,161.99,65224704
1785064043.358,14.017,40.1,162.9,65290240
1785064044.358,15.017,41.75,164.99,65290240
1785064045.358,16.017,43.42,167.0,65732608
1785064046.358,17.017,45.07,164.99,65732608
1785064047.36,18.019,46.71,163.67,65732608
1785064048.361,19.02,48.36,164.83,66240512
1785064049.361,20.02,49.99,162.98,66240512
1785064050.361,21.02,51.69,170.0,66224128
1785064051.361,22.02,53.32,162.94,66224128
1785064052.362,23.021,54.98,165.94,66256896
1785064053.369,24.028,56.62,162.85,66256896
1785064054.369,25.028,58.26,163.98,66256896
1785064055.369,26.028,59.89,162.94,66387968
1785064056.37,27.028,61.51,161.99,66387968
1785064057.37,28.029,63.13,161.95,66404352
1785064058.373,29.032,64.79,165.39,66404352
1785064059.374,30.033,66.43,163.9,66420736
1785064060.374,31.033,68.09,165.99,66420736
1785064061.374,32.033,69.76,166.95,65175552
1785064062.375,33.033,71.38,161.98,65454080
1785064063.375,34.033,73.02,164.0,65454080
1785064064.375,35.033,74.69,167.0,65470464
1785064065.375,36.033,76.33,164.0,66027520
1785064066.375,37.034,77.93,159.97,66043904
1785064067.375,38.034,79.57,163.99,66453504
1785064068.375,39.034,81.2,162.98,66453504
1785064069.375,40.034,82.84,164.0,66453504
1785064070.375,41.034,84.46,161.99,66453504
1785064071.375,42.034,86.19,172.95,66453504
1785064072.376,43.035,87.89,169.85,66453504
1785064073.376,44.035,89.57,167.99,67354624
1785064074.377,45.035,91.26,168.95,67354624
1785064075.377,46.036,92.98,171.96,67354624
1785064076.377,47.036,94.69,170.99,67354624
1785064077.379,48.037,96.42,172.69,67354624
1785064078.385,49.044,98.15,171.92,67665920
1785064079.385,50.044,99.86,170.99,67682304
1785064080.385,51.044,101.57,170.99,67682304
1785064081.385,52.044,103.2,162.99,67682304
1785064082.385,53.044,104.94,173.98,67403776
1785064083.385,54.044,106.6,165.99,67600384
1785064084.386,55.045,108.27,166.85,67600384
1785064085.386,56.045,109.92,164.99,67600384
1785064086.386,57.045,111.58,165.98,67600384
1785064087.393,58.052,113.24,164.94,67600384
1785064088.393,59.052,114.92,167.97,67600384
1785064089.395,60.054,116.46,153.67,67715072
