ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785100522.106,0.0,8.58,,151977984
1785100523.109,1.003,9.44,85.75,152076288
1785100524.11,2.005,10.2,75.88,152141824
1785100525.114,3.008,10.93,72.73,152207360
1785100526.116,4.01,11.76,82.83,152174592
1785100527.117,5.011,12.56,79.95,179781632
1785100528.118,6.013,13.43,86.85,179421184
1785100529.123,7.017,14.15,71.67,179814400
1785100530.125,8.019,15.15,99.82,179847168
1785100531.126,9.02,16.08,92.92,179847168
1785100532.13,10.025,16.92,83.62,179863552
1785100533.134,11.029,17.81,88.62,179798016
1785100534.139,12.033,18.78,96.6,186400768
1785100535.143,13.037,19.58,79.65,186499072
1785100536.146,14.04,20.37,78.79,186564608
1785100537.151,15.046,21.19,81.55,177635328
1785100538.155,16.05,21.91,71.71,181731328
1785100539.158,17.052,22.72,80.8,184696832
1785100540.158,18.053,23.54,81.94,193642496
1785100541.16,19.054,24.33,78.89,196870144
1785100542.165,20.059,25.13,79.6,215908352
1785100543.169,21.063,25.95,81.69,215941120
1785100544.171,22.065,26.75,79.82,215990272
1785100545.173,23.067,28.58,182.7,182239232
1785100546.175,24.069,29.55,96.81,186056704
1785100547.177,25.072,30.33,77.78,200212480
1785100548.183,26.077,31.17,83.54,244957184
1785100549.185,27.079,32.16,98.8,249413632
1785100550.186,28.081,33.02,85.89,249528320
1785100551.191,29.085,33.97,94.57,249839616
1785100552.192,30.086,34.91,93.91,250118144
1785100553.195,31.089,35.81,89.72,248643584
1785100554.207,32.101,36.69,86.96,253411328
1785100555.208,33.102,37.51,81.93,256507904
1785100556.209,34.103,38.49,97.87,268517376
1785100557.211,35.105,39.41,91.81,288587776
1785100558.217,36.111,40.29,87.49,288800768
1785100559.222,37.116,41.08,78.6,288931840
1785100560.223,38.118,42.11,102.85,293978112
1785100561.229,39.123,43.06,94.51,299450368
1785100562.232,40.127,43.97,90.64,291471360
1785100563.238,41.132,44.82,84.54,291799040
1785100564.243,42.137,45.54,71.63,306053120
1785100565.25,43.145,46.44,89.35,317243392
1785100566.255,44.149,47.13,68.7,315211776
1785100567.255,45.149,48.04,90.97,318291968
1785100568.255,46.15,48.73,68.99,329924608
1785100569.257,47.151,50.58,184.77,320126976
1785100570.26,48.154,51.84,125.57,190644224
1785100571.267,49.162,52.34,49.64,240664576
1785100572.275,50.17,52.9,55.55,246251520
1785100573.281,51.176,53.39,48.72,271908864
1785100574.288,52.183,53.84,44.68,280231936
1785100575.294,53.188,54.54,69.62,336576512
1785100576.299,54.194,55.24,69.63,340131840
1785100577.301,55.195,55.87,62.91,356712448
1785100578.305,56.2,56.57,69.7,364052480
1785100579.31,57.205,57.28,70.63,369803264
1785100580.312,58.207,58.0,71.87,380682240
1785100581.317,59.212,59.0,99.51,392970240
1785100582.319,60.213,60.15,114.8,393166848
