ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785067884.221,0.0,5.1,,67813376
1785067885.227,1.006,5.6,49.68,67829760
1785067886.227,2.007,6.12,52.0,63340544
1785067887.228,3.007,6.6,47.99,63520768
1785067888.228,4.007,7.08,47.99,63799296
1785067889.228,5.007,7.55,47.0,63799296
1785067890.231,6.01,8.01,45.87,63963136
1785067891.232,7.011,8.52,50.94,64176128
1785067892.238,8.018,9.03,50.68,64176128
1785067893.241,9.02,9.53,49.86,64176128
1785067894.243,10.022,10.03,49.92,64176128
1785067895.243,11.022,10.58,54.99,64176128
1785067896.243,12.022,11.14,55.99,64176128
1785067897.243,13.023,11.68,53.99,64176128
1785067898.246,14.025,12.06,37.91,64225280
1785067899.246,15.025,12.46,39.99,64225280
1785067900.246,16.025,12.86,40.0,64225280
1785067901.247,17.026,13.24,37.97,64241664
1785067902.251,18.03,13.65,40.83,64241664
1785067903.255,19.034,14.05,39.84,64241664
1785067904.256,20.035,14.46,40.97,64241664
1785067905.256,21.035,14.92,45.98,64241664
1785067906.256,22.035,15.32,40.0,64241664
1785067907.259,23.038,15.72,39.88,64241664
1785067908.259,24.039,16.16,43.99,64241664
1785067909.26,25.039,16.61,44.99,64241664
1785067910.261,26.041,17.08,46.91,64241664
1785067911.262,27.041,17.56,47.98,64241664
1785067912.262,28.041,18.03,46.99,64241664
1785067913.262,29.041,18.53,50.0,64258048
1785067914.263,30.042,19.01,47.97,64258048
1785067915.266,31.045,19.49,47.87,64274432
1785067916.267,32.047,19.97,47.91,64274432
1785067917.268,33.047,20.44,46.98,64290816
1785067918.268,34.047,20.98,53.98,64061440
1785067919.268,35.047,21.47,49.0,64061440
1785067920.268,36.047,21.95,48.0,64061440
1785067921.268,37.048,22.45,50.0,64094208
1785067922.268,38.048,22.91,46.0,64159744
1785067923.268,39.048,23.42,51.0,64192512
1785067924.269,40.048,23.9,47.99,64192512
1785067925.27,41.049,24.35,44.96,64192512
1785067926.27,42.049,24.89,53.99,64192512
1785067927.271,43.05,25.29,39.95,64225280
1785067928.271,44.05,25.7,40.99,64225280
1785067929.271,45.05,26.2,50.0,64208896
1785067930.271,46.05,26.67,47.0,64208896
1785067931.271,47.051,27.14,46.99,64208896
1785067932.274,48.053,27.61,46.87,64208896
1785067933.275,49.054,28.08,46.97,64208896
1785067934.283,50.062,28.56,47.6,64208896
1785067935.283,51.062,29.0,44.0,64208896
1785067936.283,52.063,29.46,45.99,64241664
1785067937.285,53.064,29.92,45.93,64241664
1785067938.285,54.064,30.41,48.98,64241664
1785067939.285,55.065,30.91,49.99,64241664
1785067940.286,56.065,31.44,52.98,64176128
1785067941.296,57.075,31.96,51.48,64176128
1785067942.297,58.076,32.47,50.94,64176128
1785067943.298,59.077,32.88,40.97,64192512
