ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785081047.86,0.0,11.8887,,83611648
1785081048.933,1.073,13.9157,188.83,84111360
1785081050.938,3.078,15.9779,102.85,84185088
1785081052.943,5.084,18.0642,104.05,84492288
1785081054.95,7.09,20.1774,105.31,83705856
1785081056.954,9.095,22.2643,104.11,84762624
1785081058.96,11.1,24.4566,109.3,84021248
1785081060.965,13.106,26.7112,112.44,84606976
1785081062.972,15.112,28.9463,111.38,84594688
1785081064.975,17.115,31.2497,114.98,83890176
1785081066.989,19.129,33.496,111.54,84180992
1785081068.989,21.13,35.7772,114.04,84213760
1785081070.994,23.134,38.0121,111.51,83664896
1785081073.006,25.147,40.2424,110.8,85094400
1785081075.009,27.149,42.5231,113.92,84115456
1785081077.024,29.165,44.7412,110.03,85372928
1785081079.022,31.162,46.8927,107.71,85012480
1785081081.026,33.166,49.1055,110.42,85151744
1785081083.032,35.172,51.3,109.41,85196800
1785081085.035,37.175,53.5152,110.57,85245952
1785081087.042,39.182,55.5661,102.18,85266432
1785081089.045,41.186,57.6486,103.96,85778432
1785081091.053,43.193,59.7605,105.21,84918272
1785081093.058,45.198,61.829,103.15,85401600
1785081095.061,47.202,63.9866,107.7,85012480
1785081097.073,49.213,66.1804,109.05,84484096
1785081099.073,51.213,68.4001,110.98,84185088
1785081101.078,53.219,70.5743,108.43,84221952
1785081103.083,55.224,72.7979,110.9,84152320
1785081105.088,57.228,75.1591,117.81,81903616
1785081107.098,59.238,76.1197,47.79,77455360
