ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785074790.802,0.0,10.01,,95322112
1785074791.802,1.0,11.02,100.98,95371264
1785074792.802,2.0,12.04,101.99,95387648
1785074793.802,3.001,13.06,101.97,95436800
1785074794.803,4.001,14.06,99.98,95436800
1785074795.803,5.002,15.08,101.92,95502336
1785074796.803,6.002,16.09,101.0,95535104
1785074797.803,7.002,17.1,100.99,95551488
1785074798.804,8.002,18.08,97.99,95584256
1785074799.807,9.005,19.08,99.63,95584256
1785074800.807,10.006,20.06,97.98,95600640
1785074801.807,11.006,21.08,101.99,95600640
1785074802.811,12.009,22.1,101.65,95633408
1785074803.811,13.01,23.01,90.97,95633408
1785074804.811,14.01,23.94,93.0,95666176
1785074805.815,15.014,24.92,97.62,95666176
1785074806.816,16.014,25.92,99.96,95666176
1785074807.816,17.014,26.93,100.99,95666176
1785074808.816,18.014,27.92,98.99,95666176
1785074809.816,19.014,28.94,101.99,95666176
1785074810.816,20.014,29.93,98.99,95666176
1785074811.816,21.014,30.93,100.0,95666176
1785074812.816,22.014,31.92,98.99,96174080
1785074813.816,23.014,32.99,107.0,92913664
1785074814.816,24.015,33.97,97.98,92930048
1785074815.816,25.015,34.96,98.99,92946432
1785074816.819,26.017,35.89,92.75,93503488
1785074817.819,27.017,36.8,90.99,93519872
1785074818.819,28.017,37.72,92.0,93536256
1785074819.819,29.018,38.63,90.99,93536256
1785074820.819,30.018,39.56,92.99,93536256
1785074821.82,31.018,40.58,101.96,93536256
1785074822.82,32.018,41.6,101.97,93601792
1785074823.82,33.019,42.59,98.99,93569024
1785074824.82,34.019,43.61,101.99,92897280
1785074825.82,35.019,44.6,98.99,92897280
1785074826.82,36.019,45.55,95.0,92930048
1785074827.828,37.026,46.53,97.3,92930048
1785074828.828,38.026,47.48,94.96,92930048
1785074829.828,39.026,48.47,98.99,92946432
1785074830.828,40.026,49.5,103.0,92946432
1785074831.828,41.027,50.5,99.99,92946432
1785074832.829,42.027,51.46,95.93,92979200
1785074833.829,43.027,52.43,96.99,92995584
1785074834.829,44.028,53.51,107.98,93011968
1785074835.83,45.029,54.47,95.91,93011968
1785074836.832,46.03,55.45,97.86,93028352
1785074837.836,47.034,56.41,95.58,93044736
1785074838.846,48.044,57.39,97.06,93274112
1785074839.856,49.054,58.33,93.07,93732864
1785075188.537,397.735,59.0,0.19,93732864
1785075189.537,398.735,60.1,109.99,96305152
1785075190.537,399.735,61.11,100.96,96305152
1785075191.537,400.735,62.05,94.0,96305152
1785075192.537,401.735,63.07,102.0,96305152
1785075193.537,402.735,64.14,107.0,95272960
1785075194.537,403.736,65.07,92.98,95289344
1785075195.538,404.736,66.02,94.94,95322112
1785075196.538,405.736,66.98,96.0,95322112
1785075197.538,406.736,67.92,93.99,95404032
1785075198.548,407.746,68.8,87.12,95404032
