ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785078155.185,0.0,10.3,,95682560
1785078156.187,1.002,11.35,104.75,95797248
1785078157.188,2.003,12.35,99.94,95830016
1785078158.188,3.003,13.33,98.0,95895552
1785078159.188,4.003,14.38,104.99,95895552
1785078160.188,5.003,15.39,101.0,95895552
1785078161.188,6.003,16.42,102.98,95895552
1785078162.195,7.01,17.47,104.28,95895552
1785078163.196,8.011,18.48,100.95,95895552
1785078164.199,9.014,19.45,96.66,95895552
1785078165.2,10.014,20.51,105.99,95567872
1785078166.2,11.014,21.46,95.0,95584256
1785078167.2,12.015,22.46,99.91,95600640
1785078168.201,13.015,23.42,95.99,95600640
1785078169.201,14.016,24.41,99.0,95666176
1785078170.201,15.016,25.37,95.99,95666176
1785078171.204,16.019,26.37,99.71,95715328
1785078848.51,693.324,26.69,0.05,97697792
1785078849.51,694.325,27.56,86.97,104595456
1785078850.51,695.325,28.72,115.96,104595456
1785078851.517,696.332,29.8,107.25,90865664
1785078852.517,697.332,30.76,95.99,90882048
1785078853.517,698.332,31.78,101.99,89980928
1785078854.521,699.336,32.72,93.7,90095616
1785078855.521,700.336,33.68,96.0,90095616
1785078856.524,701.339,34.67,98.7,90095616
1785078857.524,702.339,35.75,107.99,90095616
1785078858.524,703.339,36.73,97.99,90226688
1785078859.524,704.339,37.69,95.99,90243072
1785078860.524,705.339,38.67,98.0,90243072
1785078861.524,706.339,39.62,95.0,90308608
1785078862.524,707.339,40.61,98.98,90292224
1785078863.524,708.339,41.62,100.99,90308608
1785078864.524,709.339,42.65,103.0,90046464
1785078865.528,710.343,43.63,97.66,90177536
1785078866.535,711.35,44.61,97.33,90193920
1785078867.535,712.35,45.61,100.0,90193920
1785078868.535,713.35,46.59,97.99,90193920
1785078869.537,714.352,47.6,100.79,90210304
1785078870.546,715.361,48.6,99.08,90226688
1785078871.546,716.361,49.69,108.99,90226688
1785078872.547,717.362,50.66,96.96,90423296
1785078873.547,718.362,51.59,93.0,90423296
1785078874.555,719.37,52.59,99.21,90423296
1785078875.561,720.376,53.56,96.37,90423296
1785078876.562,721.376,54.52,95.98,90423296
1785078877.562,722.377,55.5,97.99,90423296
1785078878.564,723.379,56.47,96.77,90423296
1785078879.564,724.379,57.42,94.99,90423296
1785078880.564,725.379,58.41,98.99,90423296
1785078881.564,726.379,59.38,97.0,90423296
1785078882.564,727.379,60.34,95.99,90439680
1785078883.565,728.38,61.41,106.89,90456064
1785078884.565,729.38,62.38,97.0,90456064
1785078885.566,730.381,63.4,101.94,90456064
1785078886.566,731.381,64.39,98.99,90456064
1785078887.566,732.381,65.38,98.99,90456064
1785078888.566,733.381,66.36,98.0,90456064
1785078889.568,734.383,67.35,98.8,90472448
1785078890.578,735.393,68.33,97.03,90472448
1785078891.585,736.4,69.33,99.31,90472448
