ts_unix,elapsed_s,cpu_seconds_total,cpu_pct,rss_bytes
1785082973.352,0.0,1.87,,132005888
1785082974.362,1.01,1.99,11.88,132464640
1785082975.372,2.02,2.1,10.89,132481024
1785082976.373,3.021,2.2,9.99,132530176
1785082977.379,4.026,2.32,11.94,132546560
1785082978.379,5.027,2.44,11.99,132595712
1785082979.389,6.037,2.54,9.9,132907008
1785082980.39,7.037,2.66,12.0,133251072
1785082981.396,8.044,2.77,10.93,133283840
1785082982.403,9.051,2.84,6.95,133283840
1785082983.408,10.056,2.89,4.97,133300224
1785082984.409,11.057,2.94,4.99,133660672
1785082985.416,12.063,3.0,5.96,135282688
1785082986.418,13.066,3.04,3.99,136593408
1785082987.424,14.071,3.2,15.91,139247616
1785082988.428,15.075,3.25,4.98,139591680
1785082989.428,16.076,3.31,6.0,140115968
1785082990.436,17.084,3.36,4.96,140574720
1785082991.443,18.091,3.41,4.96,141115392
1785083948.234,974.881,3.46,0.01,141721600
1785083949.237,975.884,3.5,3.99,142376960
1785083950.268,976.916,3.53,2.91,140148736
1785083951.276,977.923,3.6,6.95,139411456
1785083952.284,978.931,3.64,3.97,139984896
1785083953.293,979.941,3.69,4.95,91324416
1785083954.294,980.942,3.75,6.0,96075776
1785083955.295,981.943,3.81,5.99,100614144
1785083956.295,982.943,3.87,6.0,104136704
1785083957.305,983.953,3.92,4.95,100270080
1785083958.307,984.955,3.97,4.99,104071168
1785083959.317,985.965,4.02,4.95,108969984
1785083960.318,986.966,4.07,5.0,112705536
1785083961.328,987.976,4.11,3.96,117030912
1785083962.329,988.977,4.16,4.99,121700352
1785083963.339,989.987,4.22,5.94,126189568
1785083964.342,990.989,4.28,5.99,123682816
1785083965.351,991.999,4.33,4.95,128303104
1785083966.354,993.002,4.39,5.98,133136384
1785083967.358,994.006,4.45,5.97,137560064
1785083968.36,995.008,4.51,5.99,142327808
1785083969.369,996.016,4.57,5.95,147030016
1785083970.369,997.016,4.62,5.0,150847488
1785083971.376,998.024,4.67,4.96,155025408
1785083972.384,999.032,4.72,4.96,158646272
1785083973.394,1000.041,4.78,5.94,162627584
1785083974.396,1001.044,4.9,11.97,171999232
1785083975.399,1002.046,4.96,5.99,172965888
1785083976.405,1003.052,5.02,5.96,174129152
1785083977.406,1004.054,5.07,4.99,175177728
1785083978.407,1005.055,5.12,4.99,176029696
1785083979.409,1006.056,5.18,5.99,176979968
1785083980.41,1007.058,5.23,4.99,177487872
1785083981.412,1008.06,5.28,4.99,178143232
1785083982.412,1009.06,5.33,5.0,178487296
1785083983.422,1010.07,5.39,5.94,172523520
1785083984.429,1011.077,5.43,3.97,170360832
1785083985.434,1012.082,5.48,4.98,158236672
1785083986.439,1013.087,5.54,5.97,160874496
1785083987.446,1014.094,5.6,5.96,163528704
1785083988.456,1015.104,5.66,5.94,165838848
1785083989.458,1016.106,5.71,4.99,168050688
1785083990.459,1017.107,5.75,3.99,170328064
1785083991.462,1018.11,5.79,3.99,172818432
1785083992.472,1019.12,5.84,4.95,173785088
1785083993.478,1020.126,5.87,2.98,174211072
1785083994.483,1021.131,5.92,4.97,174800896
1785083995.491,1022.139,5.95,2.98,175144960
1785083996.493,1023.14,5.99,3.99,140296192
1785083997.499,1024.146,6.04,4.97,143654912
1785083998.508,1025.156,6.08,3.96,146833408
